# Filename	2016-09-23\14_delay.txt
# Date	2016-09-23
# Title	DL-Pro & DL-100 Locked delay scan.
# DL-Pro	365856.7 GHz
# DL-100	365840.7 GHz
# Static	-500 mV Pulsed
# MWOn	On
# MWf	15932.0 MHz
# Attn	44 dB
# FixedAttn	6 dB
# B2	B2 = T2 + 2.050 us
# HP214B	HP 214B FIP at 5.5 on 100V setting ; Applied to Top ; Mesh & Vin of MCP @ +25V ; Vout of MCP @ +2025 V
# Oven	32 A
# Boxcar	Gate = 200 ns ; Amp = 25x ; Sensitivity = 5 mV
# Offset	+/- 30 mV IR/Oven offset.
# Bias	Top: 0 V ; Bot: -0.422 V ; IR: +0.045 V ; Oven: -0.045 V ; Vis: -0.000 V ; MW: +0.000 V
# Passes	4
i	step	norm	nbackground	signal	sbackground
0	0	0.306157	-0.0227414	0.0323325	-0.0472531
1	744	0.301126	-0.0227414	0.0254597	-0.0472531
2	1488	0.298528	-0.0227414	0.0275314	-0.0472531
3	2232	0.287709	-0.0227414	0.0242759	-0.0472531
4	2976	0.288301	-0.0227414	0.0310829	-0.0472531
5	3720	0.29274	-0.0227414	0.0246705	-0.0472531
6	4464	0.30642	-0.0227414	0.0333848	-0.0472531
7	5208	0.297377	-0.0227414	0.0284193	-0.0472531
8	5952	0.31132	-0.0227414	0.0275643	-0.0472531
9	6696	0.305697	-0.0227414	0.0297018	-0.0472531
10	7440	0.290438	-0.0227414	0.0225331	-0.0472531
11	8184	0.294812	-0.0227414	0.0314446	-0.0472531
12	8928	0.297081	-0.0227414	0.0258543	-0.0472531
13	9672	0.290208	-0.0227414	0.0302279	-0.0472531
14	10416	0.318094	-0.0227414	0.0318063	-0.0472531
15	11160	0.311155	-0.0227414	0.0348974	-0.0472531
16	11904	0.317732	-0.0227414	0.0325298	-0.0472531
17	12648	0.312832	-0.0227414	0.0298662	-0.0472531
18	13392	0.30938	-0.0227414	0.0298662	-0.0472531
19	14136	0.321843	-0.0227414	0.0341082	-0.0472531
20	14880	0.313819	-0.0227414	0.0305239	-0.0472531
21	15624	0.329669	-0.0227414	0.0254597	-0.0472531
22	16368	0.334569	-0.0227414	0.0346343	-0.0472531
23	17112	0.334503	-0.0227414	0.0339109	-0.0472531
24	17856	0.327499	-0.0227414	0.0308527	-0.0472531
25	18600	0.337989	-0.0227414	0.0282549	-0.0472531
26	19344	0.323355	-0.0227414	0.0416386	-0.0472531
27	20088	0.333648	-0.0227414	0.03276	-0.0472531
28	20832	0.354464	-0.0227414	0.0323982	-0.0472531
29	21576	0.323586	-0.0227414	0.0315433	-0.0472531
30	22320	0.322435	-0.0227414	0.0270053	-0.0472531
31	23064	0.337594	-0.0227414	0.0224344	-0.0472531
32	23808	0.333681	-0.0227414	0.0392381	-0.0472531
33	24552	0.340521	-0.0227414	0.026249	-0.0472531
34	25296	0.333286	-0.0227414	0.0376925	-0.0472531
35	26040	0.329768	-0.0227414	0.0287481	-0.0472531
36	26784	0.312635	-0.0227414	0.0349632	-0.0472531
37	27528	0.290767	-0.0227414	0.0221714	-0.0472531
38	28272	0.281461	-0.0227414	0.0294387	-0.0472531
39	29016	0.305565	-0.0227414	0.0314775	-0.0472531
40	29760	0.28304	-0.0227414	0.0259201	-0.0472531
41	30504	0.310366	-0.0227414	0.033319	-0.0472531
42	31248	0.318916	-0.0227414	0.0251638	-0.0472531
43	31992	0.303658	-0.0227414	0.0341411	-0.0472531
44	32736	0.31816	-0.0227414	0.0291099	-0.0472531
