# Date	2015-11-28-17:25
# Type	Delay Scan
# Bot	-200 mV
# Ov	0 mV
# IR	0 mV
# DL-Pro	365857.6 GHz
# DL-100	365841.6 GHz
# MW	On
# mwf	15933.0 MHz
# Attn	35 dB
i	step	norm	norm bkgnd	signal	signal bkgnd
102	20600	0.231214	0.00331245	0.0487744	-0.0162436	
103	20800	0.234273	0.00331245	0.0469329	-0.0162436	
104	21000	0.212306	0.00331245	0.0462424	-0.0162436	
105	21200	0.221612	0.00331245	0.0487744	-0.0162436	
106	21400	0.213523	0.00331245	0.0518655	-0.0162436	
107	21600	0.217337	0.00331245	0.0400931	-0.0162436	
108	21800	0.228353	0.00331245	0.0383831	-0.0162436	
109	22000	0.231346	0.00331245	0.0498596	-0.0162436	
110	22200	0.225427	0.00331245	0.0513394	-0.0162436	
111	22400	0.209741	0.00331245	0.034174	-0.0162436	
112	22600	0.209478	0.00331245	0.0399287	-0.0162436	
113	22800	0.206716	0.00331245	0.0329902	-0.0162436	
114	23000	0.214575	0.00331245	0.0420661	-0.0162436	
115	23200	0.207637	0.00331245	0.0304581	-0.0162436	
116	23400	0.215529	0.00331245	0.0495965	-0.0162436	
117	23600	0.207505	0.00331245	0.0437103	-0.0162436	
118	23800	0.224802	0.00331245	0.0437761	-0.0162436	
119	24000	0.211879	0.00331245	0.0456504	-0.0162436	
120	24200	0.22638	0.00331245	0.0457491	-0.0162436	
121	24400	0.207209	0.00331245	0.0465054	-0.0162436	
122	24600	0.211977	0.00331245	0.0398958	-0.0162436	
123	24800	0.219902	0.00331245	0.0384818	-0.0162436	
124	25000	0.194319	0.00331245	0.0387119	-0.0162436	
125	25200	0.212536	0.00331245	0.0516024	-0.0162436	
126	25400	0.217831	0.00331245	0.0438089	-0.0162436	
127	25600	0.231675	0.00331245	0.0507474	-0.0162436	
128	25800	0.214772	0.00331245	0.0479194	-0.0162436	
129	26000	0.227235	0.00331245	0.042954	-0.0162436	
130	26200	0.227268	0.00331245	0.0376597	-0.0162436	
131	26400	0.225197	0.00331245	0.0387119	-0.0162436	
132	26600	0.222993	0.00331245	0.0459135	-0.0162436	
133	26800	0.216844	0.00331245	0.0387119	-0.0162436	
134	27000	0.217239	0.00331245	0.0474591	-0.0162436	
135	27200	0.217403	0.00331245	0.0344699	-0.0162436	
136	27400	0.226084	0.00331245	0.0484785	-0.0162436	
137	27600	0.236509	0.00331245	0.0408494	-0.0162436	
138	27800	0.20961	0.00331245	0.0396327	-0.0162436	
139	28000	0.221711	0.00331245	0.0401588	-0.0162436	
140	28200	0.2176	0.00331245	0.0317734	-0.0162436	
141	28400	0.230031	0.00331245	0.0462424	-0.0162436	
142	28600	0.225262	0.00331245	0.036706	-0.0162436	
143	28800	0.227498	0.00331245	0.0307212	-0.0162436	
144	29000	0.224966	0.00331245	0.0372322	-0.0162436	
145	29200	0.221744	0.00331245	0.0339109	-0.0162436	
146	29400	0.219935	0.00331245	0.0386133	-0.0162436	
147	29600	0.225789	0.00331245	0.0358839	-0.0162436	
148	29800	0.220955	0.00331245	0.0395998	-0.0162436	
149	30000	0.230261	0.00331245	0.0329573	-0.0162436	
150	30200	0.253378	0.00331245	0.0481496	-0.0162436	
151	30400	0.24325	0.00331245	0.037857	-0.0162436	
152	30600	0.238186	0.00331245	0.0294387	-0.0162436	
153	30800	0.232431	0.00331245	0.0277616	-0.0162436	
154	31000	0.231543	0.00331245	0.0321681	-0.0162436	
155	31200	0.240652	0.00331245	0.0407836	-0.0162436	
156	31400	0.225361	0.00331245	0.0392381	-0.0162436	
157	31600	0.221185	0.00331245	0.0286824	-0.0162436	
158	31800	0.210859	0.00331245	0.0366074	-0.0162436	
159	32000	0.230918	0.00331245	0.0315761	-0.0162436	
160	32200	0.219442	0.00331245	0.0370349	-0.0162436	
161	32400	0.223454	0.00331245	0.0330888	-0.0162436	
162	32600	0.219277	0.00331245	0.0378241	-0.0162436	
163	32800	0.220297	0.00331245	0.0371006	-0.0162436	
164	33000	0.234634	0.00331245	0.037857	-0.0162436	
165	33200	0.214148	0.00331245	0.03105	-0.0162436	
166	33400	0.243908	0.00331245	0.0414084	-0.0162436	
