# Date	2015-11-28-19:10
# Type	Delay Scan
# Ov	100 mV
# IR	-100 mV
# Bot	20 mV
# DL-Pro	365857.6 GHz
# DL-100	365841.6 GHz
# MW	On
# mwf	15932.6 MHz
# Attn	35 dB
i	step	norm	norm bkgnd	signal	signal bkgnd
0	79800	0.247328	0.00692639	0.0664002	-0.0124718	
1	79600	0.24131	0.00692639	0.0533124	-0.0124718	
2	79400	0.250451	0.00692639	0.0645258	-0.0124718	
3	79200	0.236443	0.00692639	0.061632	-0.0124718	
4	79000	0.243085	0.00692639	0.063901	-0.0124718	
5	78800	0.238153	0.00692639	0.0674196	-0.0124718	
6	78600	0.262717	0.00692639	0.0741937	-0.0124718	
7	78400	0.245519	0.00692639	0.0654137	-0.0124718	
8	78200	0.232661	0.00692639	0.063901	-0.0124718	
9	78000	0.237528	0.00692639	0.0577517	-0.0124718	
10	77800	0.235719	0.00692639	0.0655452	-0.0124718	
11	77600	0.244236	0.00692639	0.0629145	-0.0124718	
12	77400	0.218423	0.00692639	0.0651177	-0.0124718	
13	77200	0.237857	0.00692639	0.0597905	-0.0124718	
14	77000	0.231609	0.00692639	0.0691624	-0.0124718	
15	76800	0.257817	0.00692639	0.0584752	-0.0124718	
16	76600	0.260152	0.00692639	0.0457491	-0.0124718	
17	76400	0.237725	0.00692639	0.0596261	-0.0124718	
18	76200	0.257522	0.00692639	0.0659398	-0.0124718	
19	76000	0.23937	0.00692639	0.0603167	-0.0124718	
20	75800	0.247163	0.00692639	0.0509119	-0.0124718	
21	75600	0.240882	0.00692639	0.0614347	-0.0124718	
22	75400	0.237133	0.00692639	0.0661371	-0.0124718	
23	75200	0.25226	0.00692639	0.062487	-0.0124718	
24	75000	0.233385	0.00692639	0.0708066	-0.0124718	
25	74800	0.246505	0.00692639	0.0677155	-0.0124718	
26	74600	0.243842	0.00692639	0.0593959	-0.0124718	
27	74400	0.252425	0.00692639	0.0682746	-0.0124718	
28	74200	0.247854	0.00692639	0.0739964	-0.0124718	
29	74000	0.235917	0.00692639	0.0663673	-0.0124718	
30	73800	0.229044	0.00692639	0.0666961	-0.0124718	
31	73600	0.237923	0.00692639	0.0601194	-0.0124718	
32	73400	0.246834	0.00692639	0.0457491	-0.0124718	
33	73200	0.242329	0.00692639	0.0649862	-0.0124718	
34	73000	0.212734	0.00692639	0.0555156	-0.0124718	
35	72800	0.228715	0.00692639	0.061632	-0.0124718	
36	72600	0.23424	0.00692639	0.0648875	-0.0124718	
37	72400	0.226084	0.00692639	0.0613032	-0.0124718	
38	72200	0.237101	0.00692639	0.0584423	-0.0124718	
39	72000	0.226479	0.00692639	0.0715958	-0.0124718	
40	71800	0.231313	0.00692639	0.0627172	-0.0124718	
41	71600	0.233812	0.00692639	0.0573571	-0.0124718	
42	71400	0.230294	0.00692639	0.0599549	-0.0124718	
43	71200	0.223355	0.00692639	0.060218	-0.0124718	
44	71000	0.231642	0.00692639	0.069853	-0.0124718	
45	70800	0.236344	0.00692639	0.0633749	-0.0124718	
46	70600	0.24131	0.00692639	0.0659727	-0.0124718	
47	70400	0.246407	0.00692639	0.0685376	-0.0124718	
48	70200	0.245059	0.00692639	0.0628816	-0.0124718	
49	70000	0.255581	0.00692639	0.0649204	-0.0124718	
50	69800	0.249202	0.00692639	0.0595274	-0.0124718	
51	69600	0.248215	0.00692639	0.0609415	-0.0124718	
52	69400	0.246768	0.00692639	0.0700174	-0.0124718	
53	69200	0.227696	0.00692639	0.0549566	-0.0124718	
54	69000	0.23253	0.00692639	0.0502213	-0.0124718	
55	68800	0.233286	0.00692639	0.0599549	-0.0124718	
56	68600	0.219705	0.00692639	0.0633749	-0.0124718	
57	68400	0.231445	0.00692639	0.054003	-0.0124718	
58	68200	0.220165	0.00692639	0.0615991	-0.0124718	
59	68000	0.22763	0.00692639	0.059659	-0.0124718	
60	67800	0.228485	0.00692639	0.0594946	-0.0124718	
61	67600	0.237133	0.00692639	0.0646573	-0.0124718	
62	67400	0.236542	0.00692639	0.0568967	-0.0124718	
63	67200	0.220067	0.00692639	0.0566008	-0.0124718	
