	Filename	DL-Pro	DL-100	Static	MWf	Attn	Checked
0	2016-09-27\17_delay.txt	365840.7	365824.8	-3000.0	15931.6	44.0	False
0	2016-09-27\18_delay.txt	365840.7	365824.8	-200.0	15931.6	44.0	False
0	2016-09-27\19_delay.txt	365840.7	365824.8	200.0	15931.6	44.0	False
0	2016-09-27\20_delay.txt	365840.7	365824.8	1500.0	15931.6	44.0	False
0	2016-09-27\21_delay.txt	365840.7	365824.8	-1500.0	15931.6	44.0	False
0	2016-09-27\22_delay.txt	365840.7	365824.8	-100.0	15931.6	44.0	False
0	2016-09-27\23_delay.txt	365840.7	365824.8	100.0	15931.6	44.0	False
0	2016-09-27\24_delay.txt	365840.7	365824.8	700.0	15931.6	44.0	False
0	2016-09-27\25_delay.txt	365840.7	365824.8	-700.0	15931.6	44.0	False
0	2016-09-27\26_delay.txt	365840.7	365824.8	-300.0	15931.6	44.0	False
0	2016-09-27\27_delay.txt	365840.7	365824.8	300.0	15931.6	44.0	False
0	2016-09-27\28_delay.txt	365840.7	365824.8	900.0	15931.6	44.0	False
0	2016-09-27\29_delay.txt	365840.7	365824.8	-900.0	15931.6	44.0	False
0	2016-09-27\30_delay.txt	365840.7	365824.8	-400.0	15931.6	44.0	False
0	2016-09-27\31_delay.txt	365840.7	365824.8	400.0	15931.6	44.0	False
0	2016-09-27\32_delay.txt	365840.7	365824.8	800.0	15931.6	44.0	False
0	2016-09-27\33_delay.txt	365840.7	365824.8	-800.0	15931.6	44.0	False
0	2016-09-27\34_delay.txt	365840.7	365824.8	-4000.0	15931.6	44.0	False
0	2016-09-27\35_delay.txt	365840.7	365824.8	4000.0	15931.6	44.0	False
0	2016-09-27\36_delay.txt	365840.7	365824.8	6000.0	15931.6	44.0	False
0	2016-09-27\37_delay.txt	365840.7	365824.8	-6000.0	15931.6	44.0	False
0	2016-09-27\3_delay.txt	365856.7	365840.7	-100.0	15931.6	44.0	False
0	2016-09-27\4_delay.txt	365856.7	365840.7	100.0	15931.6	44.0	False
0	2016-09-27\5_delay.txt	365856.7	365840.7	-700.0	15931.6	44.0	False
0	2016-09-27\6_delay.txt	365856.7	365840.7	700.0	15931.6	44.0	False
0	2016-09-27\7_delay.txt	365840.7	365824.8	500.0	15931.6	44.0	False
0	2016-09-27\8_delay.txt	365840.7	365824.8	500.0	15931.6	44.0	False
0	2016-09-27\9_delay.txt	365840.7	365824.8	-500.0	15931.6	44.0	False
0	2016-09-28\10_delay.txt	365824.8	365808.9	-500.0	15931.6	44.0	False
0	2016-09-28\11_delay.txt	365824.8	365808.9	0.0	15931.6	44.0	False
0	2016-09-28\12_delay.txt	365824.8	365808.9	0.0	15931.6	44.0	False
0	2016-09-28\13_delay.txt	365824.8	365808.9	-200.0	15931.6	44.0	False
0	2016-09-28\14_delay.txt	365824.8	365808.9	200.0	15931.6	44.0	False
0	2016-09-28\15_delay.txt	365824.8	365808.9	400.0	15931.6	44.0	False
0	2016-09-28\16_delay.txt	365824.8	365808.9	-400.0	15931.6	44.0	False
0	2016-09-28\17_delay.txt	365824.8	365808.9	-600.0	15931.6	44.0	False
0	2016-09-28\18_delay.txt	365824.8	365808.9	600.0	15931.6	44.0	False
0	2016-09-28\19_delay.txt	365824.8	365808.9	800.0	15931.6	44.0	False
0	2016-09-28\20_delay.txt	365824.8	365808.9	-800.0	15931.6	44.0	False
0	2016-09-28\21_delay.txt	365824.8	365808.9	-3000.0	15931.6	44.0	False
0	2016-09-28\22_delay.txt	365824.8	365808.9	3000.0	15931.6	44.0	False
0	2016-09-28\23_delay.txt	365824.8	365808.9	1000.0	15931.6	44.0	False
0	2016-09-28\24_delay.txt	365824.8	365808.9	-1000.0	15931.6	44.0	False
0	2016-09-28\25_delay.txt	365824.8	365808.9	2000.0	15931.6	44.0	False
0	2016-09-28\26_delay.txt	365824.8	365808.9	-2000.0	15931.6	44.0	False
0	2016-09-28\27_delay.txt	365824.8	365808.9	-4000.0	15931.6	44.0	False
0	2016-09-28\28_delay.txt	365824.8	365808.9	4000.0	15931.6	44.0	False
0	2016-09-28\29_delay.txt	365824.8	365808.9	-4000.0	15931.6	44.0	False
0	2016-09-28\2_delay.txt	365824.8	365808.9	-1000.0	15931.6	44.0	False
0	2016-09-28\30_delay.txt	365824.8	365808.9	-6000.0	15931.6	44.0	False
0	2016-09-28\31_delay.txt	365824.8	365808.9	6000.0	15931.6	44.0	False
0	2016-09-28\32_delay.txt	365824.8	365808.9	-1500.0	15931.6	44.0	False
0	2016-09-28\33_delay.txt	365824.8	365808.9	1500.0	15931.6	44.0	False
0	2016-09-28\34_delay.txt	365824.8	365808.9	1700.0	15931.6	44.0	False
0	2016-09-28\35_delay.txt	365824.8	365808.9	-1700.0	15931.6	44.0	False
0	2016-09-28\36_delay.txt	365824.8	365808.9	-1300.0	15931.6	44.0	False
0	2016-09-28\37_delay.txt	365824.8	365808.9	1300.0	15931.6	44.0	False
0	2016-09-28\38_delay.txt	365824.8	365808.9	8000.0	15931.6	44.0	False
0	2016-09-28\39_delay.txt	365824.8	365808.9	-8000.0	15931.6	44.0	False
0	2016-09-28\3_delay.txt	365824.8	365808.9	1000.0	15931.6	44.0	False
0	2016-09-28\4_delay.txt	365824.8	365808.9	2000.0	15931.6	44.0	False
0	2016-09-28\5_delay.txt	365824.8	365808.9	-2000.0	15931.6	44.0	False
0	2016-09-28\6_delay.txt	365824.8	365808.9	0.0	15931.6	44.0	False
0	2016-09-28\7_delay.txt	365824.8	365808.9	3000.0	15931.6	44.0	False
0	2016-09-28\8_delay.txt	365824.8	365808.9	-3000.0	15931.6	44.0	False
0	2016-09-28\9_delay.txt	365824.8	365808.9	500.0	15931.6	44.0	False
0	2016-10-01\10_delay.txt	365888.5	365872.6	0.0	15932.0	44.0	False
0	2016-10-01\11_delay.txt	365888.5	365872.6	-50.0	15932.0	44.0	False
0	2016-10-01\12_delay.txt	365888.5	365872.6	50.0	15932.0	44.0	False
0	2016-10-01\13_delay.txt	365888.5	365872.6	150.0	15932.0	44.0	False
0	2016-10-01\14_delay.txt	365888.5	365872.6	-150.0	15932.0	44.0	False
0	2016-10-01\15_delay.txt	365888.5	365872.6	-300.0	15932.0	44.0	False
0	2016-10-01\16_delay.txt	365888.5	365872.6	300.0	15932.0	44.0	False
0	2016-10-01\17_delay.txt	365888.5	365872.6	400.0	15932.0	44.0	False
0	2016-10-01\18_delay.txt	365888.5	365872.6	-400.0	15932.0	44.0	False
0	2016-10-01\19_delay.txt	365888.5	365872.6	-600.0	15932.0	44.0	False
0	2016-10-01\20_delay.txt	365888.5	365872.6	600.0	15932.0	44.0	False
0	2016-10-01\21_delay.txt	365888.5	365872.6	0.0	15932.0	44.0	False
0	2016-10-01\22_delay.txt	365888.5	365872.6	600.0	15932.0	44.0	False
0	2016-10-01\23_delay.txt	365888.5	365872.6	-800.0	15932.0	44.0	False
0	2016-10-01\24_delay.txt	365888.5	365872.6	-1000.0	15932.0	44.0	False
0	2016-10-01\25_delay.txt	365888.5	365872.6	1000.0	15932.0	44.0	False
0	2016-10-01\26_delay.txt	365888.5	365872.6	1500.0	15932.0	44.0	False
0	2016-10-01\27_delay.txt	365888.5	365872.6	-1500.0	15932.0	44.0	False
0	2016-10-01\28_delay.txt	365888.5	365872.6	800.0	15932.0	44.0	False
0	2016-10-01\29_delay.txt	365888.5	365872.6	2000.0	15932.0	44.0	False
0	2016-10-01\2_delay.txt	365824.8	365808.9	0.0	15931.6	44.0	False
0	2016-10-01\30_delay.txt	365888.5	365872.6	-2000.0	15932.0	44.0	False
0	2016-10-01\31_delay.txt	365888.5	365872.6	-4000.0	15932.0	44.0	False
0	2016-10-01\32_delay.txt	365888.5	365872.6	4000.0	15932.0	44.0	False
0	2016-10-01\33_delay.txt	365888.5	365872.6	3000.0	15932.0	44.0	False
0	2016-10-01\34_delay.txt	365888.5	365872.6	-3000.0	15932.0	44.0	False
0	2016-10-01\35_delay.txt	365888.5	365872.6	-6000.0	15932.0	44.0	False
0	2016-10-01\36_delay.txt	365888.5	365872.6	6000.0	15932.0	44.0	False
0	2016-10-01\37_delay.txt	365888.5	365872.6	-100.0	15932.0	50.0	False
0	2016-10-01\38_delay.txt	365888.5	365872.6	-100.0	15932.0	38.0	False
0	2016-10-01\39_delay.txt	365888.5	365872.6	-100.0	15932.0	32.0	False
0	2016-10-01\3_delay.txt	365888.5	365872.6	0.0	15932.0	44.0	False
0	2016-10-01\40_delay.txt	365888.5	365872.6	-100.0	15932.0	26.0	False
0	2016-10-01\4_delay.txt	365888.5	365872.6	0.0	15932.0	44.0	False
0	2016-10-01\5_delay.txt	365888.5	365872.6	100.0	15932.0	44.0	False
0	2016-10-01\6_delay.txt	365888.5	365872.6	-100.0	15932.0	44.0	False
0	2016-10-01\7_delay.txt	365888.5	365872.6	-200.0	15932.0	44.0	False
0	2016-10-01\8_delay.txt	365888.5	365872.6	200.0	15932.0	44.0	False
0	2016-10-01\9_delay.txt	365888.5	365872.6	0.0	15932.0	44.0	False
0	2016-10-04\10_delay.txt	365824.8	365808.9	-200.0	15931.6	32.0	False
0	2016-10-04\11_delay.txt	365824.8	365808.9	-150.0	15931.6	32.0	False
0	2016-10-04\12_delay.txt	365824.8	365808.9	150.0	15931.6	32.0	False
0	2016-10-04\13_delay.txt	365824.8	365808.9	300.0	15931.6	32.0	False
0	2016-10-04\14_delay.txt	365824.8	365808.9	-300.0	15931.6	32.0	False
0	2016-10-04\15_delay.txt	365824.8	365808.9	-400.0	15931.6	32.0	False
0	2016-10-04\16_delay.txt	365824.8	365808.9	400.0	15931.6	32.0	False
0	2016-10-04\17_delay.txt	365824.8	365808.9	1000.0	15931.6	32.0	False
0	2016-10-04\18_delay.txt	365824.8	365808.9	-1000.0	15931.6	32.0	False
0	2016-10-04\19_delay.txt	365824.8	365808.9	-700.0	15931.6	32.0	False
0	2016-10-04\20_delay.txt	365824.8	365808.9	700.0	15931.6	32.0	False
0	2016-10-04\2_delay.txt	365824.8	365808.9	-100.0	15931.6	32.0	False
0	2016-10-04\3_delay.txt	365824.8	365808.9	100.0	15931.6	32.0	False
0	2016-10-04\4_delay.txt	365824.8	365808.9	0.0	15931.6	32.0	False
0	2016-10-04\5_delay.txt	365824.8	365808.9	50.0	15931.6	32.0	False
0	2016-10-04\6_delay.txt	365824.8	365808.9	-50.0	15931.6	32.0	False
0	2016-10-04\8_delay.txt	365824.8	365808.9	0.0	15931.6	32.0	False
0	2016-10-04\9_delay.txt	365824.8	365808.9	200.0	15931.6	32.0	False
