	Filename	DL-Pro	DL-100	Static	MWOn	MWf	Attn	y0	a	phi
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.047719772099585216	0.016269977891418524	0.7321734200125558
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.06681401248008471	0.01789333471483812	0.830782883300969
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.27040706401382125	0.031447877121135864	3.035143166820008
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.29206541737545627	0.023869935761312827	0.9977140904666645
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.09974494550130965	0.025399013762359986	0.9845536662380304
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.08311792589675748	0.029866633810900226	0.7624142802105113
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.3195477798261132	0.017672272395470118	0.6428043692120913
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.15749093537921177	0.04436260041445989	1.033181632985535
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.1572849738121688	0.04376868647603017	2.773569367319759
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.033761007306273856	0.013982112590047628	2.5882041943913396
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.024030206326855066	0.012326075364059184	0.8807175206287025
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.1301548230233052	0.035066922405560884	1.1501782028234981
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.1297000496000847	0.03784536496576967	2.5672037466813333
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.029139053664078998	0.011804533391311298	0.7387536321268738
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.019736456083461747	0.012532602812534632	0.2957815306520647
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.00889491502609381	0.010142188841557254	0.5902095315107266
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.03095007113926439	0.010058773492978904	0.6454177103725487
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.233152576718235	0.04324450651974017	2.837971099456356
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.2184012540697052	0.04602847357808307	1.3775911303851038
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.19470827874221625	0.04479864245975497	1.1383713083882645
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.1832693407828729	0.04827181990713035	2.6237185961233838
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.15275910456111025	0.026826430865138112	0.9135717219871154
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.1531110774441663	0.013816509069658436	0.7150929840432353
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.12834310224620352	0.014538558543396515	0.9030714981321118
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.23699112181666207	0.01734406911090612	1.1107437893507668
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.22136530840128435	0.022673766781591914	2.7669891552054415
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.5514298741688706	0.022633801625151828	0.8951846154375658
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.36724467352636486	0.027690829426662344	2.300356405646995
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.20667542797808564	0.043917475230629124	2.742021836541575
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.20921318686161988	0.04118232775739657	1.36839757711033
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.43471087022934224	0.03631006747200871	2.632912149398159
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.4295225810525171	0.042626255806499286	2.656493196004438
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.459795668939444	0.040697627375725104	1.093663353381446
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.136810117511333	0.025426062815416345	2.538269557063606
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.3524581773268734	0.04266298729418905	2.46594574531057
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.05083897790618959	0.017885961817182622	1.0765465819118873
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.07091873553353623	0.0168839360423496	0.8399415861776959
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.4178960487713943	0.040080351011906434	2.7183244074270423
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.4303871954804981	0.03540079413704339	1.289491078072662
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.12706320617072236	0.021604476337398364	2.6723199300382907
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.14841109834766025	0.022256018894265456	1.0489488144215868
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.5339570211733469	0.02976721389955972	2.0163962534156035
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.2174121674760621	0.022960208393557724	1.5589599283294986
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.21009896324643118	0.02273226754574298	0.9976782500004906
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.35040012208999255	0.034884952770168426	1.2106227461612644
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.2481483654355899	0.018424612706353094	0.5363046569975032
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.23258577807589503	0.02036838035022004	0.7308424432598245
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.0337928719277304	0.012202913792558173	0.5257847802901906
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.04335833943580251	0.014962924977945187	2.467262267068656
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.29130153708611406	0.01902625405013375	1.2908075998307478
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.26554441275736285	0.018529992969686604	3.0903220891686964
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.395668757781486	0.04437987020692971	2.7104375742359026
0	2016-09-22\10_delay.txt	365872.6	365856.7	-1000.0	1.0	15932.0	38.0	0.3937363969521017	0.03565444863475564	1.4104266194559294
