# Filename	2016-10-01\19_delay.txt
# Date	2016-10-01
# Title	DL-Pro & DL-100 Locked delay scan.
# DL-Pro	365888.5 GHz
# DL-100	365872.6 GHz
# Static	-600 mV Pulsed
# MWOn	On
# MWf	15932.0 MHz
# Attn	44 dB
# FixedAttn	6 dB
# B2	B2 = T2 + 2.050 us
# HP214B	HP 214B FIP at 5.5 on 100V setting ; Applied to Top ; Mesh & Vin of MCP @ +25V ; Vout of MCP @ +2025 V
# Oven	32 A
# Boxcar	Gate = 200 ns ; Amp = 25x ; Sensitivity = 5 mV
# Offset	+/- 30 mV IR/Oven offset.
# Bias	Top: 0 V ; Bot: -0.480 V ; IR: +0.065 V ; Oven: -0.065 V ; Vis: -0.015 V ; MW: +0.015 V
# Passes	4
i	step	norm	nbackground	signal	sbackground
0	0	0.2054	-0.0198674	-0.0324817	-0.0382955
1	744	0.214378	-0.0198674	-0.0324488	-0.0382955
2	1488	0.210629	-0.0198674	-0.0354412	-0.0382955
3	2232	0.209083	-0.0198674	-0.0318569	-0.0382955
4	2976	0.226117	-0.0198674	-0.0349479	-0.0382955
5	3720	0.219837	-0.0198674	-0.0366579	-0.0382955
6	4464	0.221711	-0.0198674	-0.0376115	-0.0382955
7	5208	0.183204	-0.0198674	-0.0376773	-0.0382955
8	5952	0.205335	-0.0198674	-0.0312321	-0.0382955
9	6696	0.19205	-0.0198674	-0.0297523	-0.0382955
10	7440	0.209083	-0.0198674	-0.0323501	-0.0382955
11	8184	0.218455	-0.0198674	-0.0336655	-0.0382955
12	8928	0.205762	-0.0198674	-0.0419851	-0.0382955
13	9672	0.236476	-0.0198674	-0.0398148	-0.0382955
14	10416	0.217337	-0.0198674	-0.0324817	-0.0382955
15	11160	0.239698	-0.0198674	-0.0353097	-0.0382955
16	11904	0.230359	-0.0198674	-0.0300482	-0.0382955
17	12648	0.226084	-0.0198674	-0.0335997	-0.0382955
18	13392	0.228485	-0.0198674	-0.0360002	-0.0382955
19	14136	0.240027	-0.0198674	-0.0333366	-0.0382955
20	14880	0.235719	-0.0198674	-0.0397819	-0.0382955
21	15624	0.215858	-0.0198674	-0.0386638	-0.0382955
22	16368	0.20619	-0.0198674	-0.0349479	-0.0382955
23	17112	0.237429	-0.0198674	-0.0349151	-0.0382955
24	17856	0.221349	-0.0198674	-0.0397819	-0.0382955
25	18600	0.218718	-0.0198674	-0.0331393	-0.0382955
26	19344	0.193825	-0.0198674	-0.0402422	-0.0382955
27	20088	0.228748	-0.0198674	-0.0353097	-0.0382955
28	20832	0.234273	-0.0198674	-0.0338299	-0.0382955
29	21576	0.218159	-0.0198674	-0.0353097	-0.0382955
30	22320	0.220001	-0.0198674	-0.0361646	-0.0382955
31	23064	0.232727	-0.0198674	-0.0349479	-0.0382955
32	23808	0.240422	-0.0198674	-0.0311992	-0.0382955
33	24552	0.232135	-0.0198674	-0.0328763	-0.0382955
34	25296	0.233878	-0.0198674	-0.0387625	-0.0382955
35	26040	0.237035	-0.0198674	-0.0312978	-0.0382955
36	26784	0.239633	-0.0198674	-0.0342574	-0.0382955
37	27528	0.21007	-0.0198674	-0.0340601	-0.0382955
38	28272	0.225986	-0.0198674	-0.0317253	-0.0382955
39	29016	0.225427	-0.0198674	-0.0339285	-0.0382955
40	29760	0.23687	-0.0198674	-0.0343231	-0.0382955
41	30504	0.236772	-0.0198674	-0.0347178	-0.0382955
42	31248	0.23789	-0.0198674	-0.0350137	-0.0382955
43	31992	0.250057	-0.0198674	-0.0327776	-0.0382955
44	32736	0.236246	-0.0198674	-0.0384007	-0.0382955
45	33480	0.247426	-0.0198674	-0.0363291	-0.0382955
46	34224	0.228945	-0.0198674	-0.0261022	-0.0382955
47	34968	0.234437	-0.0198674	-0.0337312	-0.0382955
48	35712	0.23664	-0.0198674	-0.0390584	-0.0382955
49	36456	0.233878	-0.0198674	-0.0298181	-0.0382955
50	37200	0.243316	-0.0198674	-0.03748	-0.0382955
51	37944	0.239271	-0.0198674	-0.0333695	-0.0382955
52	38688	0.242033	-0.0198674	-0.0356714	-0.0382955
53	39432	0.243743	-0.0198674	-0.0333695	-0.0382955
54	40176	0.214805	-0.0198674	-0.0370854	-0.0382955
55	40920	0.230359	-0.0198674	-0.0376773	-0.0382955
56	41664	0.223618	-0.0198674	-0.0375787	-0.0382955
57	42408	0.227367	-0.0198674	-0.0302784	-0.0382955
58	43152	0.224835	-0.0198674	-0.0355727	-0.0382955
59	43896	0.217502	-0.0198674	-0.0367237	-0.0382955
60	44640	0.213917	-0.0198674	-0.0341587	-0.0382955
61	45384	0.212339	-0.0198674	-0.0311663	-0.0382955
62	46128	0.211089	-0.0198674	-0.032383	-0.0382955
63	46872	0.173306	-0.0198674	-0.0343231	-0.0382955
64	47616	0.165742	-0.0198674	-0.0319555	-0.0382955
65	48360	0.210037	-0.0198674	-0.0349808	-0.0382955
66	49104	0.215726	-0.0198674	-0.034093	-0.0382955
67	49848	0.192247	-0.0198674	-0.0367894	-0.0382955
68	50592	0.163375	-0.0198674	-0.0321528	-0.0382955
69	51336	0.183796	-0.0198674	-0.0389269	-0.0382955
70	52080	0.194056	-0.0198674	-0.03919	-0.0382955
71	52824	0.193957	-0.0198674	-0.0316924	-0.0382955
72	53568	0.222829	-0.0198674	-0.0308703	-0.0382955
73	54312	0.220067	-0.0198674	-0.0357372	-0.0382955
74	55056	0.187413	-0.0198674	-0.0332051	-0.0382955
75	55800	0.203263	-0.0198674	-0.0400449	-0.0382955
76	56544	0.212931	-0.0198674	-0.0380719	-0.0382955
77	57288	0.228518	-0.0198674	-0.0364935	-0.0382955
78	58032	0.191622	-0.0198674	-0.0392886	-0.0382955
79	58776	0.194713	-0.0198674	-0.0380061	-0.0382955
80	59520	0.19764	-0.0198674	-0.0352439	-0.0382955
81	60264	0.221908	-0.0198674	-0.0323501	-0.0382955
82	61008	0.21908	-0.0198674	-0.0400778	-0.0382955
83	61752	0.197739	-0.0198674	-0.0354412	-0.0382955
84	62496	0.17883	-0.0198674	-0.0381048	-0.0382955
85	63240	0.216186	-0.0198674	-0.0376773	-0.0382955
86	63984	0.206091	-0.0198674	-0.0297523	-0.0382955
87	64728	0.220165	-0.0198674	-0.03577	-0.0382955
88	65472	0.206519	-0.0198674	-0.0293577	-0.0382955
89	66216	0.206782	-0.0198674	-0.0375458	-0.0382955
90	66960	0.209215	-0.0198674	-0.0320542	-0.0382955
91	67704	0.199679	-0.0198674	-0.0319226	-0.0382955
