# Filename	2016-10-01\31_delay.txt
# Date	2016-10-01
# Title	DL-Pro & DL-100 Locked delay scan.
# DL-Pro	36588.5 GHz
# DL-100	365872.6 GHz
# Static	-4000 mV Pulsed
# MWOn	On
# MWf	15932.0 MHz
# Attn	44 dB
# FixedAttn	6 dB
# B2	B2 = T2 + 2.050 us
# HP214B	HP 214B FIP at 5.5 on 100V setting ; Applied to Top ; Mesh & Vin of MCP @ +25V ; Vout of MCP @ +2025 V
# Oven	32 A
# Boxcar	Gate = 200 ns ; Amp = 25x ; Sensitivity = 5 mV
# Offset	+/- 30 mV IR/Oven offset.
# Bias	Top: 0 V ; Bot: -0.480 V ; IR: +0.065 V ; Oven: -0.065 V ; Vis: -0.015 V ; MW: +0.015 V
# Passes	4
i	step	norm	nbackground	signal	sbackground
0	0	0.244072	-0.0137378	-0.0312649	-0.0360791
1	744	0.245716	-0.0137378	-0.0307717	-0.0360791
2	1488	0.256338	-0.0137378	-0.0306402	-0.0360791
3	2232	0.252688	-0.0137378	-0.0316596	-0.0360791
4	2976	0.238054	-0.0137378	-0.0347506	-0.0360791
5	3720	0.243053	-0.0137378	-0.0300811	-0.0360791
6	4464	0.24667	-0.0137378	-0.0298509	-0.0360791
7	5208	0.229044	-0.0137378	-0.0348822	-0.0360791
8	5952	0.237956	-0.0137378	-0.0282725	-0.0360791
9	6696	0.219738	-0.0137378	-0.0337312	-0.0360791
10	7440	0.235391	-0.0137378	-0.0287	-0.0360791
11	8184	0.249235	-0.0137378	-0.032087	-0.0360791
12	8928	0.241014	-0.0137378	-0.0346191	-0.0360791
13	9672	0.237331	-0.0137378	-0.0325145	-0.0360791
14	10416	0.230951	-0.0137378	-0.0327447	-0.0360791
15	11160	0.248939	-0.0137378	-0.0344876	-0.0360791
16	11904	0.24394	-0.0137378	-0.0285027	-0.0360791
17	12648	0.240553	-0.0137378	-0.0330407	-0.0360791
18	13392	0.23595	-0.0137378	-0.0379404	-0.0360791
19	14136	0.259067	-0.0137378	-0.0342903	-0.0360791
20	14880	0.247558	-0.0137378	-0.0288644	-0.0360791
21	15624	0.25157	-0.0137378	-0.0333695	-0.0360791
22	16368	0.24986	-0.0137378	-0.0339614	-0.0360791
23	17112	0.249991	-0.0137378	-0.032087	-0.0360791
24	17856	0.258146	-0.0137378	-0.0349808	-0.0360791
25	18600	0.263934	-0.0137378	-0.0343231	-0.0360791
26	19344	0.258771	-0.0137378	-0.0336655	-0.0360791
27	20088	0.249498	-0.0137378	-0.0303442	-0.0360791
28	20832	0.254496	-0.0137378	-0.0339943	-0.0360791
29	21576	0.266893	-0.0137378	-0.033797	-0.0360791
30	22320	0.263506	-0.0137378	-0.0372169	-0.0360791
31	23064	0.260974	-0.0137378	-0.0307717	-0.0360791
32	23808	0.259297	-0.0137378	-0.0367894	-0.0360791
33	24552	0.262553	-0.0137378	-0.0335997	-0.0360791
34	25296	0.254858	-0.0137378	-0.0366908	-0.0360791
35	26040	0.259363	-0.0137378	-0.0330407	-0.0360791
36	26784	0.2542	-0.0137378	-0.027845	-0.0360791
37	27528	0.268899	-0.0137378	-0.0322186	-0.0360791
38	28272	0.249597	-0.0137378	-0.0370854	-0.0360791
39	29016	0.247722	-0.0137378	-0.0333366	-0.0360791
40	29760	0.252227	-0.0137378	-0.0363291	-0.0360791
41	30504	0.239402	-0.0137378	-0.0308375	-0.0360791
42	31248	0.258278	-0.0137378	-0.0329091	-0.0360791
43	31992	0.256798	-0.0137378	-0.0348822	-0.0360791
44	32736	0.260777	-0.0137378	-0.0323501	-0.0360791
45	33480	0.228485	-0.0137378	-0.0345205	-0.0360791
46	34224	0.244631	-0.0137378	-0.0267927	-0.0360791
47	34968	0.250978	-0.0137378	-0.0343889	-0.0360791
48	35712	0.263276	-0.0137378	-0.0305086	-0.0360791
49	36456	0.247097	-0.0137378	-0.0313636	-0.0360791
50	37200	0.270083	-0.0137378	-0.0337641	-0.0360791
51	37944	0.261402	-0.0137378	-0.026727	-0.0360791
52	38688	0.261862	-0.0137378	-0.0312978	-0.0360791
53	39432	0.268275	-0.0137378	-0.0307717	-0.0360791
54	40176	0.256634	-0.0137378	-0.030673	-0.0360791
55	40920	0.277153	-0.0137378	-0.0289631	-0.0360791
56	41664	0.266302	-0.0137378	-0.0303442	-0.0360791
57	42408	0.274851	-0.0137378	-0.0297523	-0.0360791
58	43152	0.267354	-0.0137378	-0.0319555	-0.0360791
59	43896	0.264526	-0.0137378	-0.0364935	-0.0360791
60	44640	0.262388	-0.0137378	-0.034356	-0.0360791
61	45384	0.26321	-0.0137378	-0.0324159	-0.0360791
62	46128	0.272352	-0.0137378	-0.0296865	-0.0360791
63	46872	0.269721	-0.0137378	-0.0290946	-0.0360791
64	47616	0.277975	-0.0137378	-0.0295879	-0.0360791
65	48360	0.272451	-0.0137378	-0.0310348	-0.0360791
66	49104	0.266302	-0.0137378	-0.0303442	-0.0360791
67	49848	0.269689	-0.0137378	-0.0305086	-0.0360791
68	50592	0.280409	-0.0137378	-0.0312321	-0.0360791
69	51336	0.266203	-0.0137378	-0.0338299	-0.0360791
70	52080	0.265381	-0.0137378	-0.0310348	-0.0360791
71	52824	0.2762	-0.0137378	-0.0331393	-0.0360791
72	53568	0.254989	-0.0137378	-0.0294235	-0.0360791
73	54312	0.254661	-0.0137378	-0.0279108	-0.0360791
74	55056	0.266696	-0.0137378	-0.0321199	-0.0360791
75	55800	0.256206	-0.0137378	-0.037184	-0.0360791
76	56544	0.246275	-0.0137378	-0.0314623	-0.0360791
77	57288	0.265907	-0.0137378	-0.0325803	-0.0360791
78	58032	0.265019	-0.0137378	-0.0345862	-0.0360791
79	58776	0.268636	-0.0137378	-0.0341916	-0.0360791
80	59520	0.270116	-0.0137378	-0.0353097	-0.0360791
81	60264	0.268044	-0.0137378	-0.0360331	-0.0360791
82	61008	0.281362	-0.0137378	-0.0289302	-0.0360791
83	61752	0.265315	-0.0137378	-0.0342245	-0.0360791
84	62496	0.245124	-0.0137378	-0.0322843	-0.0360791
85	63240	0.255055	-0.0137378	-0.033797	-0.0360791
86	63984	0.255844	-0.0137378	-0.0265626	-0.0360791
87	64728	0.270609	-0.0137378	-0.0296536	-0.0360791
88	65472	0.255285	-0.0137378	-0.0337312	-0.0360791
89	66216	0.263243	-0.0137378	-0.0357043	-0.0360791
90	66960	0.27176	-0.0137378	-0.0331064	-0.0360791
91	67704	0.26913	-0.0137378	-0.0282396	-0.0360791
92	68448	0.24907	-0.0137378	-0.0321857	-0.0360791
93	69192	0.259363	-0.0137378	-0.0310348	-0.0360791
94	69936	0.255483	-0.0137378	-0.0325145	-0.0360791
95	70680	0.279126	-0.0137378	-0.033238	-0.0360791
96	71424	0.264394	-0.0137378	-0.0371183	-0.0360791
97	72168	0.266696	-0.0137378	-0.0268585	-0.0360791
98	72912	0.271333	-0.0137378	-0.0364606	-0.0360791
99	73656	0.273668	-0.0137378	-0.0310348	-0.0360791
100	74400	0.273733	-0.0137378	-0.032679	-0.0360791
101	75144	0.265414	-0.0137378	-0.0287	-0.0360791
102	75888	0.25272	-0.0137378	-0.031824	-0.0360791
103	76632	0.279587	-0.0137378	-0.0311663	-0.0360791
104	77376	0.271037	-0.0137378	-0.0305415	-0.0360791
105	78120	0.279587	-0.0137378	-0.0328763	-0.0360791
106	78864	0.271037	-0.0137378	-0.0254116	-0.0360791
107	79608	0.258837	-0.0137378	-0.0305086	-0.0360791
108	80352	0.248873	-0.0137378	-0.0313636	-0.0360791
109	81096	0.252161	-0.0137378	-0.0273846	-0.0360791
110	81840	0.261632	-0.0137378	-0.0283054	-0.0360791
111	82584	0.264657	-0.0137378	-0.0389927	-0.0360791
112	83328	0.258607	-0.0137378	-0.0313307	-0.0360791
113	84072	0.283335	-0.0137378	-0.0297852	-0.0360791
114	84816	0.256732	-0.0137378	-0.0329091	-0.0360791
115	85560	0.255285	-0.0137378	-0.0362304	-0.0360791
116	86304	0.260251	-0.0137378	-0.0337641	-0.0360791
117	87048	0.268505	-0.0137378	-0.0385652	-0.0360791
118	87792	0.272845	-0.0137378	-0.0308375	-0.0360791
119	88536	0.275476	-0.0137378	-0.0370525	-0.0360791
120	89280	0.286328	-0.0137378	-0.0321857	-0.0360791
121	90024	0.275871	-0.0137378	-0.0320542	-0.0360791
122	90768	0.264756	-0.0137378	-0.029555	-0.0360791
