# Filename	2016-10-01\27_delay.txt
# Date	2016-10-01
# Title	DL-Pro & DL-100 Locked delay scan.
# DL-Pro	36588.5 GHz
# DL-100	365872.6 GHz
# Static	-1500 mV Pulsed
# MWOn	On
# MWf	15932.0 MHz
# Attn	44 dB
# FixedAttn	6 dB
# B2	B2 = T2 + 2.050 us
# HP214B	HP 214B FIP at 5.5 on 100V setting ; Applied to Top ; Mesh & Vin of MCP @ +25V ; Vout of MCP @ +2025 V
# Oven	32 A
# Boxcar	Gate = 200 ns ; Amp = 25x ; Sensitivity = 5 mV
# Offset	+/- 30 mV IR/Oven offset.
# Bias	Top: 0 V ; Bot: -0.480 V ; IR: +0.065 V ; Oven: -0.065 V ; Vis: -0.015 V ; MW: +0.015 V
# Passes	4
i	step	norm	nbackground	signal	sbackground
90	66960	0.134042	-0.0184468	-0.0335011	-0.0384435
91	67704	0.151734	-0.0184468	-0.0348493	-0.0384435
92	68448	0.188136	-0.0184468	-0.0327776	-0.0384435
93	69192	0.154628	-0.0184468	-0.0370196	-0.0384435
94	69936	0.139271	-0.0184468	-0.032383	-0.0384435
95	70680	0.155187	-0.0184468	-0.0335997	-0.0384435
96	71424	0.177745	-0.0184468	-0.0390913	-0.0384435
97	72168	0.178008	-0.0184468	-0.0403409	-0.0384435
98	72912	0.168011	-0.0184468	-0.0327118	-0.0384435
99	73656	0.171037	-0.0184468	-0.0385652	-0.0384435
100	74400	0.169919	-0.0184468	-0.0293248	-0.0384435
101	75144	0.190932	-0.0184468	-0.0330736	-0.0384435
102	75888	0.190701	-0.0184468	-0.0366579	-0.0384435
103	76632	0.161632	-0.0184468	-0.0283712	-0.0384435
104	77376	0.182645	-0.0184468	-0.0284369	-0.0384435
105	78120	0.146703	-0.0184468	-0.0334682	-0.0384435
106	78864	0.182415	-0.0184468	-0.0333695	-0.0384435
107	79608	0.203526	-0.0184468	-0.031824	-0.0384435
108	80352	0.169031	-0.0184468	-0.0312978	-0.0384435
109	81096	0.19422	-0.0184468	-0.0313965	-0.0384435
110	81840	0.207374	-0.0184468	-0.0318569	-0.0384435
111	82584	0.200599	-0.0184468	-0.0338957	-0.0384435
112	83328	0.168702	-0.0184468	-0.0353425	-0.0384435
113	84072	0.20711	-0.0184468	-0.0333366	-0.0384435
114	84816	0.227531	-0.0184468	-0.0344876	-0.0384435
115	85560	0.222763	-0.0184468	-0.0345205	-0.0384435
116	86304	0.232135	-0.0184468	-0.0334682	-0.0384435
117	87048	0.218883	-0.0184468	-0.0327776	-0.0384435
118	87792	0.228551	-0.0184468	-0.0335997	-0.0384435
119	88536	0.218291	-0.0184468	-0.0305086	-0.0384435
120	89280	0.206288	-0.0184468	-0.0279437	-0.0384435
121	90024	0.215233	-0.0184468	-0.0317253	-0.0384435
122	90768	0.237035	-0.0184468	-0.0328105	-0.0384435
123	91512	0.202671	-0.0184468	-0.0295221	-0.0384435
124	92256	0.20859	-0.0184468	-0.0312649	-0.0384435
125	93000	0.205368	-0.0184468	-0.034356	-0.0384435
126	93744	0.212865	-0.0184468	-0.0303442	-0.0384435
127	94488	0.192017	-0.0184468	-0.0266283	-0.0384435
128	95232	0.204545	-0.0184468	-0.0321528	-0.0384435
129	95976	0.214476	-0.0184468	-0.0350137	-0.0384435
130	96720	0.228386	-0.0184468	-0.0331722	-0.0384435
131	97464	0.188991	-0.0184468	-0.0339943	-0.0384435
132	98208	0.222467	-0.0184468	-0.0330407	-0.0384435
133	98952	0.205894	-0.0184468	-0.0315609	-0.0384435
134	99696	0.191918	-0.0184468	-0.0326132	-0.0384435
135	100440	0.177055	-0.0184468	-0.0338299	-0.0384435
136	101184	0.203888	-0.0184468	-0.0280423	-0.0384435
137	101928	0.228058	-0.0184468	-0.0341258	-0.0384435
138	102672	0.18738	-0.0184468	-0.0326461	-0.0384435
139	103416	0.215397	-0.0184468	-0.0284369	-0.0384435
140	104160	0.200205	-0.0184468	-0.0350795	-0.0384435
141	104904	0.20836	-0.0184468	-0.0277793	-0.0384435
142	105648	0.219113	-0.0184468	-0.0248197	-0.0384435
143	106392	0.201652	-0.0184468	-0.0320542	-0.0384435
144	107136	0.207604	-0.0184468	-0.0263324	-0.0384435
145	107880	0.219606	-0.0184468	-0.0334353	-0.0384435
146	108624	0.215463	-0.0184468	-0.0275162	-0.0384435
147	109368	0.220692	-0.0184468	-0.0286342	-0.0384435
148	110112	0.225591	-0.0184468	-0.0356056	-0.0384435
149	110856	0.201356	-0.0184468	-0.0360331	-0.0384435
150	111600	0.213293	-0.0184468	-0.0316596	-0.0384435
151	111042	0.192082	-0.0184468	-0.0354083	-0.0384435
152	110298	0.187413	-0.0184468	-0.032383	-0.0384435
153	109554	0.154924	-0.0184468	-0.0328105	-0.0384435
154	108810	0.175772	-0.0184468	-0.0305086	-0.0384435
155	108066	0.175377	-0.0184468	-0.0289631	-0.0384435
156	107322	0.201027	-0.0184468	-0.0302455	-0.0384435
157	106578	0.164065	-0.0184468	-0.0326461	-0.0384435
158	105834	0.187544	-0.0184468	-0.0367894	-0.0384435
159	105090	0.19491	-0.0184468	-0.0351124	-0.0384435
160	104346	0.166071	-0.0184468	-0.0361975	-0.0384435
161	103602	0.170445	-0.0184468	-0.0354083	-0.0384435
162	102858	0.177515	-0.0184468	-0.0260693	-0.0384435
163	102114	0.202046	-0.0184468	-0.0307717	-0.0384435
164	101370	0.211089	-0.0184468	-0.0323501	-0.0384435
165	100626	0.19764	-0.0184468	-0.0324488	-0.0384435
166	99882	0.18156	-0.0184468	-0.0361975	-0.0384435
167	99138	0.182053	-0.0184468	-0.036066	-0.0384435
168	98394	0.180738	-0.0184468	-0.0279766	-0.0384435
169	97650	0.187183	-0.0184468	-0.0347178	-0.0384435
170	96906	0.168768	-0.0184468	-0.0370196	-0.0384435
171	96162	0.207637	-0.0184468	-0.0365264	-0.0384435
172	95418	0.213819	-0.0184468	-0.0376773	-0.0384435
173	94674	0.194121	-0.0184468	-0.0340272	-0.0384435
174	93930	0.188432	-0.0184468	-0.0389598	-0.0384435
175	93186	0.157554	-0.0184468	-0.0372827	-0.0384435
176	92442	0.17449	-0.0184468	-0.0311334	-0.0384435
177	91698	0.199547	-0.0184468	-0.0346191	-0.0384435
178	90954	0.200172	-0.0184468	-0.0282396	-0.0384435
179	90210	0.201191	-0.0184468	-0.0319884	-0.0384435
180	89466	0.219771	-0.0184468	-0.0345533	-0.0384435
181	88722	0.231313	-0.0184468	-0.0376115	-0.0384435
182	87978	0.222566	-0.0184468	-0.027286	-0.0384435
183	87234	0.218653	-0.0184468	-0.0341258	-0.0384435
184	86490	0.21862	-0.0184468	-0.0379075	-0.0384435
185	85746	0.219508	-0.0184468	-0.0321857	-0.0384435
186	85002	0.226479	-0.0184468	-0.0317911	-0.0384435
187	84258	0.241967	-0.0184468	-0.0344218	-0.0384435
188	83514	0.216976	-0.0184468	-0.0334682	-0.0384435
189	82770	0.215923	-0.0184468	-0.0316924	-0.0384435
190	82026	0.225098	-0.0184468	-0.0336655	-0.0384435
191	81282	0.214608	-0.0184468	-0.0316596	-0.0384435
192	80538	0.226052	-0.0184468	-0.0332051	-0.0384435
193	79794	0.230195	-0.0184468	-0.0293906	-0.0384435
194	79050	0.221875	-0.0184468	-0.0340272	-0.0384435
195	78306	0.216449	-0.0184468	-0.0298838	-0.0384435
196	77562	0.216844	-0.0184468	-0.0344218	-0.0384435
197	76818	0.2298	-0.0184468	-0.0310019	-0.0384435
198	76074	0.22079	-0.0184468	-0.0300154	-0.0384435
199	75330	0.20642	-0.0184468	-0.0306402	-0.0384435
200	74586	0.223454	-0.0184468	-0.0287329	-0.0384435
201	73842	0.219902	-0.0184468	-0.0313965	-0.0384435
202	73098	0.220363	-0.0184468	-0.0280752	-0.0384435
203	72354	0.209741	-0.0184468	-0.0291604	-0.0384435
204	71610	0.222138	-0.0184468	-0.0286342	-0.0384435
205	70866	0.207012	-0.0184468	-0.0345862	-0.0384435
206	70122	0.19833	-0.0184468	-0.0341916	-0.0384435
207	69378	0.221777	-0.0184468	-0.0293248	-0.0384435
208	68634	0.20129	-0.0184468	-0.0356056	-0.0384435
209	67890	0.203921	-0.0184468	-0.030673	-0.0384435
210	67146	0.21931	-0.0184468	-0.0307388	-0.0384435
211	66402	0.197739	-0.0184468	-0.0323501	-0.0384435
212	65658	0.198002	-0.0184468	-0.0347506	-0.0384435
213	64914	0.210004	-0.0184468	-0.0344876	-0.0384435
214	64170	0.222599	-0.0184468	-0.0307059	-0.0384435
215	63426	0.200369	-0.0184468	-0.0327776	-0.0384435
216	62682	0.221316	-0.0184468	-0.0348164	-0.0384435
217	61938	0.208557	-0.0184468	-0.0353097	-0.0384435
218	61194	0.223815	-0.0184468	-0.0317582	-0.0384435
219	60450	0.223026	-0.0184468	-0.0363948	-0.0384435
220	59706	0.217831	-0.0184468	-0.031824	-0.0384435
221	58962	0.196916	-0.0184468	-0.0308703	-0.0384435
222	58218	0.203986	-0.0184468	-0.0342574	-0.0384435
223	57474	0.228452	-0.0184468	-0.0340272	-0.0384435
224	56730	0.217995	-0.0184468	-0.0369539	-0.0384435
225	55986	0.222106	-0.0184468	-0.031824	-0.0384435
226	55242	0.237429	-0.0184468	-0.0362633	-0.0384435
227	54498	0.221481	-0.0184468	-0.0387296	-0.0384435
228	53754	0.224605	-0.0184468	-0.0384007	-0.0384435
229	53010	0.218521	-0.0184468	-0.0375458	-0.0384435
230	52266	0.208985	-0.0184468	-0.0312321	-0.0384435
231	51522	0.207143	-0.0184468	-0.0313307	-0.0384435
232	50778	0.222303	-0.0184468	-0.0332709	-0.0384435
233	50034	0.207637	-0.0184468	-0.0335339	-0.0384435
