# Filename	2016-09-26\6_delay.txt
# Date	2016-09-26
# Title	DL-Pro & DL-100 Locked delay scan.
# DL-Pro	365856.7 GHz
# DL-100	365840.7 GHz
# Static	1500 mV Pulsed
# MWOn	On
# MWf	15931.9 MHz
# Attn	44 dB
# FixedAttn	6 dB
# B2	B2 = T2 + 2.050 us
# HP214B	HP 214B FIP at 5.5 on 100V setting ; Applied to Top ; Mesh & Vin of MCP @ +25V ; Vout of MCP @ +2025 V
# Oven	32 A
# Boxcar	Gate = 200 ns ; Amp = 25x ; Sensitivity = 5 mV
# Offset	+/- 30 mV IR/Oven offset.
# Bias	Top: 0 V ; Bot: -0.458 V ; IR: +0.080 V ; Oven: -0.080 V ; Vis: -0.005 V ; MW: +0.005 V
# Passes	4
i	step	norm	nbackground	signal	sbackground
0	0	0.306552	-0.02407	-0.023603	-0.0472465
1	744	0.287676	-0.02407	-0.0311992	-0.0472465
2	1488	0.260054	-0.02407	-0.0294235	-0.0472465
3	2232	0.283631	-0.02407	-0.0276477	-0.0472465
4	2976	0.263506	-0.02407	-0.0286342	-0.0472465
5	3720	0.255088	-0.02407	-0.0304429	-0.0472465
6	4464	0.260481	-0.02407	-0.027582	-0.0472465
7	5208	0.267683	-0.02407	-0.023307	-0.0472465
8	5952	0.26423	-0.02407	-0.0324159	-0.0472465
9	6696	0.249465	-0.02407	-0.0224521	-0.0472465
10	7440	0.272023	-0.02407	-0.028141	-0.0472465
11	8184	0.253608	-0.02407	-0.0303771	-0.0472465
12	8928	0.256634	-0.02407	-0.0262337	-0.0472465
13	9672	0.272484	-0.02407	-0.0290946	-0.0472465
14	10416	0.268209	-0.02407	-0.0239647	-0.0472465
15	11160	0.260218	-0.02407	-0.0224521	-0.0472465
16	11904	0.263243	-0.02407	-0.0176839	-0.0472465
17	12648	0.27255	-0.02407	-0.0244909	-0.0472465
18	13392	0.267485	-0.02407	-0.0227151	-0.0472465
19	14136	0.258705	-0.02407	-0.0248855	-0.0472465
20	14880	0.254003	-0.02407	-0.0255432	-0.0472465
21	15624	0.266071	-0.02407	-0.0214984	-0.0472465
22	16368	0.266367	-0.02407	-0.0164672	-0.0472465
23	17112	0.255384	-0.02407	-0.0196241	-0.0472465
24	17856	0.279258	-0.02407	-0.0221561	-0.0472465
25	18600	0.250386	-0.02407	-0.0170591	-0.0472465
26	19344	0.27107	-0.02407	-0.0208408	-0.0472465
27	20088	0.262717	-0.02407	-0.0226165	-0.0472465
28	20832	0.270971	-0.02407	-0.0158753	-0.0472465
29	21576	0.264526	-0.02407	-0.0253458	-0.0472465
30	22320	0.253773	-0.02407	-0.0187362	-0.0472465
31	23064	0.265249	-0.02407	-0.0257733	-0.0472465
32	23808	0.260777	-0.02407	-0.0164014	-0.0472465
33	24552	0.288827	-0.02407	-0.0195254	-0.0472465
34	25296	0.266499	-0.02407	-0.01992	-0.0472465
35	26040	0.259955	-0.02407	-0.0216629	-0.0472465
36	26784	0.281823	-0.02407	-0.0203804	-0.0472465
37	27528	0.27449	-0.02407	-0.0240305	-0.0472465
38	28272	0.276627	-0.02407	-0.0238332	-0.0472465
39	29016	0.260646	-0.02407	-0.0209065	-0.0472465
40	29760	0.285013	-0.02407	-0.0263981	-0.0472465
41	30504	0.262717	-0.02407	-0.0183416	-0.0472465
42	31248	0.265775	-0.02407	-0.0225178	-0.0472465
43	31992	0.268242	-0.02407	-0.019065	-0.0472465
44	32736	0.272155	-0.02407	-0.0259378	-0.0472465
45	33480	0.259626	-0.02407	-0.0225836	-0.0472465
46	34224	0.285703	-0.02407	-0.0259049	-0.0472465
47	34968	0.261501	-0.02407	-0.0266283	-0.0472465
48	35712	0.269689	-0.02407	-0.0297852	-0.0472465
49	36456	0.26423	-0.02407	-0.0212354	-0.0472465
50	37200	0.240521	-0.02407	-0.0251814	-0.0472465
51	37944	0.263901	-0.02407	-0.0220246	-0.0472465
