# Filename	2016-09-26\8_delay.txt
# Date	2016-09-26
# Title	DL-Pro & DL-100 Locked delay scan.
# DL-Pro	365856.7 GHz
# DL-100	365840.7 GHz
# Static	-400 mV Pulsed
# MWOn	On
# MWf	15931.9 MHz
# Attn	44 dB
# FixedAttn	6 dB
# B2	B2 = T2 + 2.050 us
# HP214B	HP 214B FIP at 5.5 on 100V setting ; Applied to Top ; Mesh & Vin of MCP @ +25V ; Vout of MCP @ +2025 V
# Oven	32 A
# Boxcar	Gate = 200 ns ; Amp = 25x ; Sensitivity = 5 mV
# Offset	+/- 30 mV IR/Oven offset.
# Bias	Top: 0 V ; Bot: -0.458 V ; IR: +0.080 V ; Oven: -0.080 V ; Vis: -0.005 V ; MW: +0.005 V
# Passes	4
i	step	norm	nbackground	signal	sbackground
0	0	0.269458	-0.0228467	0.00694612	-0.0479075
1	744	0.24667	-0.0228467	0.0190145	-0.0479075
2	1488	0.256864	-0.0228467	0.00796552	-0.0479075
3	2232	0.256995	-0.0228467	0.0107606	-0.0479075
4	2976	0.247196	-0.0228467	0.00990567	-0.0479075
5	3720	0.244006	-0.0228467	0.016614	-0.0479075
6	4464	0.236509	-0.0228467	0.01349	-0.0479075
7	5208	0.26594	-0.0228467	0.00908357	-0.0479075
8	5952	0.256436	-0.0228467	0.0127008	-0.0479075
9	6696	0.248873	-0.0228467	0.0124706	-0.0479075
10	7440	0.247689	-0.0228467	0.0169757	-0.0479075
11	8184	0.250682	-0.0228467	0.00500597	-0.0479075
12	8928	0.245486	-0.0228467	0.00296717	-0.0479075
13	9672	0.239271	-0.0228467	0.000106272	-0.0479075
14	10416	0.244631	-0.0228467	0.016614	-0.0479075
15	11160	0.242987	-0.0228467	0.00905069	-0.0479075
16	11904	0.243053	-0.0228467	0.01178	-0.0479075
17	12648	0.263013	-0.0228467	0.00766956	-0.0479075
18	13392	0.266433	-0.0228467	0.00622267	-0.0479075
19	14136	0.248807	-0.0228467	0.0105305	-0.0479075
20	14880	0.244368	-0.0228467	0.000106272	-0.0479075
21	15624	0.244467	-0.0228467	0.0037235	-0.0479075
22	16368	0.254496	-0.0228467	0.000829717	-0.0479075
23	17112	0.240356	-0.0228467	0.00267121	-0.0479075
24	17856	0.242559	-0.0228467	0.000270691	-0.0479075
25	18600	0.243776	-0.0228467	0.00845878	-0.0479075
26	19344	0.246045	-0.0228467	0.0076038	-0.0479075
27	20088	0.248446	-0.0228467	-0.00311635	-0.0479075
28	20832	0.244335	-0.0228467	0.00175047	-0.0479075
29	21576	0.263638	-0.0228467	-0.000814477	-0.0479075
30	22320	0.247985	-0.0228467	0.00214507	-0.0479075
31	23064	0.243184	-0.0228467	0.00661728	-0.0479075
32	23808	0.237561	-0.0228467	-0.00143927	-0.0479075
33	24552	0.252589	-0.0228467	0.0035262	-0.0479075
34	25296	0.241869	-0.0228467	0.00628844	-0.0479075
35	26040	0.245059	-0.0228467	0.00135586	-0.0479075
36	26784	0.226939	-0.0228467	0.00237526	-0.0479075
37	27528	0.239501	-0.0228467	0.00293429	-0.0479075
38	28272	0.239567	-0.0228467	0.0112868	-0.0479075
39	29016	0.245913	-0.0228467	0.0129639	-0.0479075
40	29760	0.236903	-0.0228467	0.0122075	-0.0479075
41	30504	0.255417	-0.0228467	0.0102674	-0.0479075
42	31248	0.243645	-0.0228467	0.010103	-0.0479075
43	31992	0.253049	-0.0228467	0.00424964	-0.0479075
44	32736	0.246571	-0.0228467	0.0139175	-0.0479075
45	33480	0.241935	-0.0228467	0.00786687	-0.0479075
46	34224	0.24394	-0.0228467	0.00503885	-0.0479075
47	34968	0.24154	-0.0228467	0.0131941	-0.0479075
48	35712	0.234075	-0.0228467	0.0102345	-0.0479075
49	36456	0.244993	-0.0228467	-0.000748709	-0.0479075
50	37200	0.225591	-0.0228467	0.00280275	-0.0479075
51	37944	0.220692	-0.0228467	0.00849166	-0.0479075
52	38688	0.209906	-0.0228467	0.00579518	-0.0479075
53	39432	0.213687	-0.0228467	0.000336459	-0.0479075
54	40176	0.189353	-0.0228467	0.00441406	-0.0479075
55	40920	0.218751	-0.0228467	0.00918222	-0.0479075
56	41664	0.220001	-0.0228467	-0.00222848	-0.0479075
57	42408	0.200303	-0.0228467	0.00247391	-0.0479075
58	43152	0.228321	-0.0228467	0.00582807	-0.0479075
59	43896	0.206913	-0.0228467	0.00622267	-0.0479075
60	44640	0.203592	-0.0228467	-0.00479343	-0.0479075
61	45384	0.211977	-0.0228467	0.000500879	-0.0479075
62	46128	0.207472	-0.0228467	-0.0019983	-0.0479075
63	46872	0.22592	-0.0228467	0.00115856	-0.0479075
64	47616	0.206617	-0.0228467	0.00293429	-0.0479075
65	48360	0.217272	-0.0228467	0.00905069	-0.0479075
66	49104	0.201882	-0.0228467	0.00464425	-0.0479075
67	49848	0.199975	-0.0228467	-0.000978896	-0.0479075
68	50592	0.211221	-0.0228467	0.00313159	-0.0479075
69	51336	0.213621	-0.0228467	0.00378927	-0.0479075
70	52080	0.236739	-0.0228467	0.00211219	-0.0479075
71	52824	0.228156	-0.0228467	-0.00143927	-0.0479075
72	53568	0.221908	-0.0228467	0.00688035	-0.0479075
73	54312	0.224111	-0.0228467	-0.00633897	-0.0479075
74	55056	0.226479	-0.0228467	0.00316447	-0.0479075
75	55800	0.222895	-0.0228467	-0.00196541	-0.0479075
76	56544	0.204118	-0.0228467	0.000928369	-0.0479075
77	57288	0.226413	-0.0228467	0.00244103	-0.0479075
