# Filename	2016-09-26\13_delay.txt
# Date	2016-09-26
# Title	DL-Pro & DL-100 Locked delay scan.
# DL-Pro	365856.7 GHz
# DL-100	365840.7 GHz
# Static	-3000 mV Pulsed
# MWOn	On
# MWf	15931.9 MHz
# Attn	44 dB
# FixedAttn	6 dB
# B2	B2 = T2 + 2.050 us
# HP214B	HP 214B FIP at 5.5 on 100V setting ; Applied to Top ; Mesh & Vin of MCP @ +25V ; Vout of MCP @ +2025 V
# Oven	32 A
# Boxcar	Gate = 200 ns ; Amp = 25x ; Sensitivity = 5 mV
# Offset	+/- 30 mV IR/Oven offset.
# Bias	Top: 0 V ; Bot: -0.406 V ; IR: +0.050 V ; Oven: -0.050 V ; Vis: -0.005 V ; MW: +0.005 V
# Passes	4
i	step	norm	nbackground	signal	sbackground
0	0	0.257817	-0.0268585	-0.0339285	-0.0526625
1	744	0.25009	-0.0268585	-0.0388282	-0.0526625
2	1488	0.278107	-0.0268585	-0.0329749	-0.0526625
3	2232	0.270609	-0.0268585	-0.0405053	-0.0526625
4	2976	0.254529	-0.0268585	-0.0292261	-0.0526625
5	3720	0.258936	-0.0268585	-0.0401107	-0.0526625
6	4464	0.24131	-0.0268585	-0.0319555	-0.0526625
7	5208	0.25568	-0.0268585	-0.0409986	-0.0526625
8	5952	0.254529	-0.0268585	-0.0407355	-0.0526625
9	6696	0.24302	-0.0268585	-0.0369539	-0.0526625
10	7440	0.248117	-0.0268585	-0.0416234	-0.0526625
11	8184	0.248774	-0.0268585	-0.040308	-0.0526625
12	8928	0.257522	-0.0268585	-0.03748	-0.0526625
13	9672	0.245848	-0.0268585	-0.0332051	-0.0526625
14	10416	0.2396	-0.0268585	-0.0416234	-0.0526625
15	11160	0.230228	-0.0268585	-0.0415247	-0.0526625
16	11904	0.236443	-0.0268585	-0.0404395	-0.0526625
17	12648	0.228781	-0.0268585	-0.0439581	-0.0526625
18	13392	0.256075	-0.0268585	-0.0400121	-0.0526625
19	14136	0.237232	-0.0268585	-0.0383021	-0.0526625
20	14880	0.253904	-0.0268585	-0.0390913	-0.0526625
21	15624	0.243612	-0.0268585	-0.0362304	-0.0526625
22	16368	0.242987	-0.0268585	-0.0451419	-0.0526625
23	17112	0.225098	-0.0268585	-0.0392886	-0.0526625
24	17856	0.242296	-0.0268585	-0.0375129	-0.0526625
25	18600	0.229504	-0.0268585	-0.0410315	-0.0526625
26	19344	0.250978	-0.0268585	-0.0395846	-0.0526625
27	20088	0.248117	-0.0268585	-0.0430045	-0.0526625
28	20832	0.258508	-0.0268585	-0.0370854	-0.0526625
29	21576	0.239896	-0.0268585	-0.0439252	-0.0526625
30	22320	0.240586	-0.0268585	-0.0381377	-0.0526625
31	23064	0.243612	-0.0268585	-0.0406697	-0.0526625
32	23808	0.247919	-0.0268585	-0.0404067	-0.0526625
33	24552	0.256502	-0.0268585	-0.036625	-0.0526625
34	25296	0.243414	-0.0268585	-0.0389269	-0.0526625
35	26040	0.256469	-0.0268585	-0.0388611	-0.0526625
36	26784	0.256568	-0.0268585	-0.0392557	-0.0526625
37	27528	0.247163	-0.0268585	-0.03919	-0.0526625
38	28272	0.236574	-0.0268585	-0.0372169	-0.0526625
39	29016	0.248544	-0.0268585	-0.0435964	-0.0526625
40	29760	0.223125	-0.0268585	-0.0410315	-0.0526625
41	30504	0.245881	-0.0268585	-0.0408013	-0.0526625
42	31248	0.244335	-0.0268585	-0.040867	-0.0526625
43	31992	0.248446	-0.0268585	-0.0397819	-0.0526625
44	32736	0.24154	-0.0268585	-0.0361646	-0.0526625
45	33480	0.224079	-0.0268585	-0.0330078	-0.0526625
46	34224	0.241014	-0.0268585	-0.034652	-0.0526625
47	34968	0.238975	-0.0268585	-0.040604	-0.0526625
48	35712	0.231247	-0.0268585	-0.0363619	-0.0526625
49	36456	0.243414	-0.0268585	-0.0426428	-0.0526625
50	37200	0.246374	-0.0268585	-0.0368552	-0.0526625
51	37944	0.24473	-0.0268585	-0.0401765	-0.0526625
52	38688	0.232661	-0.0268585	-0.0388611	-0.0526625
53	39432	0.2518	-0.0268585	-0.0415247	-0.0526625
54	40176	0.228025	-0.0268585	-0.0366579	-0.0526625
55	40920	0.229932	-0.0268585	-0.0438595	-0.0526625
56	41664	0.216318	-0.0268585	-0.0402751	-0.0526625
57	42408	0.249629	-0.0268585	-0.0376773	-0.0526625
58	43152	0.242526	-0.0268585	-0.0391571	-0.0526625
59	43896	0.227071	-0.0268585	-0.0400778	-0.0526625
60	44640	0.247952	-0.0268585	-0.0382034	-0.0526625
61	45384	0.229603	-0.0268585	-0.0368552	-0.0526625
62	46128	0.258311	-0.0268585	-0.0357043	-0.0526625
63	46872	0.24223	-0.0268585	-0.0362633	-0.0526625
64	47616	0.235193	-0.0268585	-0.0466546	-0.0526625
65	48360	0.251076	-0.0268585	-0.0445829	-0.0526625
66	49104	0.258541	-0.0268585	-0.0414918	-0.0526625
67	49848	0.241573	-0.0268585	-0.0453064	-0.0526625
68	50592	0.259527	-0.0268585	-0.044846	-0.0526625
69	51336	0.247229	-0.0268585	-0.0371183	-0.0526625
70	52080	0.229241	-0.0268585	-0.0461942	-0.0526625
71	52824	0.244795	-0.0268585	-0.0383679	-0.0526625
72	53568	0.248577	-0.0268585	-0.0449775	-0.0526625
73	54312	0.240948	-0.0268585	-0.0411301	-0.0526625
74	55056	0.259659	-0.0268585	-0.0432018	-0.0526625
75	55800	0.257719	-0.0268585	-0.0390584	-0.0526625
76	56544	0.24986	-0.0268585	-0.0427743	-0.0526625
77	57288	0.249268	-0.0268585	-0.038894	-0.0526625
78	58032	0.249202	-0.0268585	-0.0431689	-0.0526625
79	58776	0.249564	-0.0268585	-0.0417549	-0.0526625
80	59520	0.252556	-0.0268585	-0.0418536	-0.0526625
81	60264	0.247821	-0.0268585	-0.0390913	-0.0526625
82	61008	0.242625	-0.0268585	-0.042018	-0.0526625
83	61752	0.246834	-0.0268585	-0.0414918	-0.0526625
84	62496	0.251668	-0.0268585	-0.0341587	-0.0526625
85	63240	0.243645	-0.0268585	-0.0362304	-0.0526625
86	63984	0.250188	-0.0268585	-0.0371512	-0.0526625
87	64728	0.24736	-0.0268585	-0.0411959	-0.0526625
88	65472	0.238876	-0.0268585	-0.0417878	-0.0526625
89	66216	0.247393	-0.0268585	-0.0344876	-0.0526625
90	66960	0.247525	-0.0268585	-0.0405382	-0.0526625
91	67704	0.251898	-0.0268585	-0.0395517	-0.0526625
92	68448	0.238317	-0.0268585	-0.0384336	-0.0526625
93	69192	0.244795	-0.0268585	-0.0384994	-0.0526625
94	69936	0.244269	-0.0268585	-0.0351124	-0.0526625
95	70680	0.250747	-0.0268585	-0.0402094	-0.0526625
96	71424	0.244993	-0.0268585	-0.0376115	-0.0526625
97	72168	0.243151	-0.0268585	-0.0369539	-0.0526625
98	72912	0.250715	-0.0268585	-0.0363291	-0.0526625
99	73656	0.240948	-0.0268585	-0.0427743	-0.0526625
100	74400	0.23424	-0.0268585	-0.0430045	-0.0526625
101	75144	0.232398	-0.0268585	-0.0354741	-0.0526625
102	75888	0.239172	-0.0268585	-0.0372827	-0.0526625
103	76632	0.242987	-0.0268585	-0.036625	-0.0526625
104	77376	0.241112	-0.0268585	-0.0433333	-0.0526625
105	78120	0.228715	-0.0268585	-0.0380061	-0.0526625
106	78864	0.240323	-0.0268585	-0.0417878	-0.0526625
107	79608	0.24496	-0.0268585	-0.0425441	-0.0526625
108	80352	0.234273	-0.0268585	-0.0403738	-0.0526625
109	81096	0.245683	-0.0268585	-0.0433004	-0.0526625
110	81840	0.242329	-0.0268585	-0.0403738	-0.0526625
111	82584	0.240784	-0.0268585	-0.0397161	-0.0526625
112	83328	0.24325	-0.0268585	-0.0377431	-0.0526625
