# Filename	2016-10-04\2_delay.txt
# Date	2016-10-04
# Title	DL-Pro & DL-100 Locked delay scan.
# DL-Pro	365824.8 GHz
# DL-100	365808.9 GHz
# Static	-100 mV Pulsed
# MWOn	On
# MWf	15931.6 MHz
# Attn	32 dB
# FixedAttn	6 dB
# B2	B2 = T2 + 2.050 us
# HP214B	HP 214B FIP at 5.5 on 100V setting ; Applied to Top ; Mesh & Vin of MCP @ +25V ; Vout of MCP @ +2025 V
# Oven	32 A
# Boxcar	Gate = 200 ns ; Amp = 25x ; Sensitivity = 5 mV
# Offset	+/- 30 mV IR/Oven offset.
# Bias	Top: 0 V ; Bot: -0.476 V ; IR: +0.060 V ; Oven: -0.060 V ; Vis: -0.010 V ; MW: +0.010 V
# Passes	4
i	step	norm	nbackground	signal	sbackground
0	0	0.316055	-0.0166908	-0.0178483	-0.0453425
1	744	0.33401	-0.0166908	-0.0216629	-0.0453425
2	1488	0.313161	-0.0166908	-0.013113	-0.0453425
3	2232	0.309643	-0.0166908	-0.0174537	-0.0453425
4	2976	0.342592	-0.0166908	-0.0204462	-0.0453425
5	3720	0.309018	-0.0166908	-0.014264	-0.0453425
6	4464	0.305532	-0.0166908	-0.0140338	-0.0453425
7	5208	0.339107	-0.0166908	-0.0189006	-0.0453425
8	5952	0.332201	-0.0166908	-0.0181772	-0.0453425
9	6696	0.305466	-0.0166908	-0.0194925	-0.0453425
10	7440	0.33253	-0.0166908	-0.0271545	-0.0453425
11	8184	0.323717	-0.0166908	-0.0199529	-0.0453425
12	8928	0.302605	-0.0166908	-0.0174537	-0.0453425
13	9672	0.321547	-0.0166908	-0.019361	-0.0453425
14	10416	0.322435	-0.0166908	-0.0195583	-0.0453425
15	11160	0.320363	-0.0166908	-0.0208079	-0.0453425
16	11904	0.327795	-0.0166908	-0.0171249	-0.0453425
17	12648	0.337956	-0.0166908	-0.0227151	-0.0453425
18	13392	0.329932	-0.0166908	-0.0291933	-0.0453425
19	14136	0.313063	-0.0166908	-0.0200844	-0.0453425
20	14880	0.319278	-0.0166908	-0.0235372	-0.0453425
21	15624	0.320264	-0.0166908	-0.0249512	-0.0453425
22	16368	0.31908	-0.0166908	-0.0160397	-0.0453425
23	17112	0.328452	-0.0166908	-0.0264968	-0.0453425
24	17856	0.309478	-0.0166908	-0.0147244	-0.0453425
25	18600	0.329866	-0.0166908	-0.020479	-0.0453425
26	19344	0.319376	-0.0166908	-0.0192952	-0.0453425
27	20088	0.316219	-0.0166908	-0.0251814	-0.0453425
28	20832	0.318686	-0.0166908	-0.0211038	-0.0453425
29	21576	0.317042	-0.0166908	-0.0207092	-0.0453425
30	22320	0.330623	-0.0166908	-0.0224192	-0.0453425
31	23064	0.328978	-0.0166908	-0.0240634	-0.0453425
32	23808	0.310432	-0.0166908	-0.0284041	-0.0453425
33	24552	0.294944	-0.0166908	-0.0191308	-0.0453425
34	25296	0.298692	-0.0166908	-0.0305086	-0.0453425
35	26040	0.294121	-0.0166908	-0.0274175	-0.0453425
36	26784	0.308196	-0.0166908	-0.0214656	-0.0453425
37	27528	0.298758	-0.0166908	-0.0151847	-0.0453425
38	28272	0.315463	-0.0166908	-0.0232742	-0.0453425
39	29016	0.313359	-0.0166908	-0.0220575	-0.0453425
40	29760	0.29468	-0.0166908	-0.0196241	-0.0453425
41	30504	0.30083	-0.0166908	-0.0174537	-0.0453425
42	31248	0.294286	-0.0166908	-0.0165659	-0.0453425
43	31992	0.310202	-0.0166908	-0.0208736	-0.0453425
44	32736	0.311451	-0.0166908	-0.0095287	-0.0453425
45	33480	0.336049	-0.0166908	-0.0191637	-0.0453425
46	34224	0.337857	-0.0166908	-0.0139023	-0.0453425
47	34968	0.334043	-0.0166908	-0.017388	-0.0453425
48	35712	0.355088	-0.0166908	-0.0123896	-0.0453425
49	36456	0.341113	-0.0166908	-0.0109427	-0.0453425
50	37200	0.354464	-0.0166908	-0.0172235	-0.0453425
51	37944	0.341639	-0.0166908	-0.010581	-0.0453425
52	38688	0.363605	-0.0166908	-0.0157438	-0.0453425
53	39432	0.335917	-0.0166908	-0.0161055	-0.0453425
54	40176	0.341211	-0.0166908	-0.011436	-0.0453425
55	40920	0.350583	-0.0166908	-0.00614166	-0.0453425
56	41664	0.332398	-0.0166908	-0.0184731	-0.0453425
57	42408	0.321349	-0.0166908	-0.0149545	-0.0453425
58	43152	0.326183	-0.0166908	-0.0222219	-0.0453425
59	43896	0.317206	-0.0166908	-0.0202488	-0.0453425
60	44640	0.3225	-0.0166908	-0.0106796	-0.0453425
61	45384	0.336345	-0.0166908	-0.0186047	-0.0453425
62	46128	0.328321	-0.0166908	-0.0184402	-0.0453425
63	46872	0.33664	-0.0166908	-0.0146915	-0.0453425
64	47616	0.31303	-0.0166908	-0.016796	-0.0453425
65	48360	0.327532	-0.0166908	-0.0144284	-0.0453425
66	49104	0.325657	-0.0166908	-0.0188677	-0.0453425
67	49848	0.310761	-0.0166908	-0.014264	-0.0453425
68	50592	0.329702	-0.0166908	-0.0237345	-0.0453425
69	51336	0.339337	-0.0166908	-0.0185718	-0.0453425
70	52080	0.316055	-0.0166908	-0.023899	-0.0453425
71	52824	0.331511	-0.0166908	-0.0223534	-0.0453425
72	53568	0.292609	-0.0166908	-0.0188677	-0.0453425
73	54312	0.302605	-0.0166908	-0.0198871	-0.0453425
74	55056	0.324079	-0.0166908	-0.0209723	-0.0453425
75	55800	0.290965	-0.0166908	-0.0157109	-0.0453425
76	56544	0.301422	-0.0166908	-0.0166974	-0.0453425
77	57288	0.303033	-0.0166908	-0.0196898	-0.0453425
78	58032	0.310728	-0.0166908	-0.0162699	-0.0453425
79	58776	0.312306	-0.0166908	-0.021334	-0.0453425
80	59520	0.299777	-0.0166908	-0.0227809	-0.0453425
81	60264	0.305532	-0.0166908	-0.0301469	-0.0453425
82	61008	0.325328	-0.0166908	-0.0228796	-0.0453425
83	61752	0.335851	-0.0166908	-0.0234715	-0.0453425
84	62496	0.320166	-0.0166908	-0.0181772	-0.0453425
85	63240	0.318521	-0.0166908	-0.0164672	-0.0453425
86	63984	0.34279	-0.0166908	-0.017947	-0.0453425
87	64728	0.322961	-0.0166908	-0.0161055	-0.0453425
88	65472	0.32694	-0.0166908	-0.0235044	-0.0453425
89	66216	0.334076	-0.0166908	-0.0147901	-0.0453425
90	66960	0.340554	-0.0166908	-0.0146586	-0.0453425
91	67704	0.349465	-0.0166908	-0.0225178	-0.0453425
92	68448	0.325197	-0.0166908	-0.0174537	-0.0453425
93	69192	0.320034	-0.0166908	-0.0132446	-0.0453425
94	69936	0.336673	-0.0166908	-0.0167303	-0.0453425
95	70680	0.318817	-0.0166908	-0.0211038	-0.0453425
96	71424	0.336871	-0.0166908	-0.0181114	-0.0453425
97	72168	0.340751	-0.0166908	-0.0107783	-0.0453425
98	72912	0.336772	-0.0166908	-0.0117648	-0.0453425
99	73656	0.331412	-0.0166908	-0.015382	-0.0453425
100	74400	0.328452	-0.0166908	-0.019065	-0.0453425
101	75144	0.333451	-0.0166908	-0.0135077	-0.0453425
102	75888	0.325394	-0.0166908	-0.0127184	-0.0453425
103	76632	0.324473	-0.0166908	-0.0169933	-0.0453425
104	77376	0.328189	-0.0166908	-0.0132446	-0.0453425
105	78120	0.337331	-0.0166908	-0.0178154	-0.0453425
106	78864	0.313655	-0.0166908	-0.0174208	-0.0453425
107	79608	0.334569	-0.0166908	-0.0189335	-0.0453425
108	80352	0.317042	-0.0166908	-0.0160068	-0.0453425
109	81096	0.285078	-0.0166908	-0.02163	-0.0453425
110	81840	0.325789	-0.0166908	-0.0166974	-0.0453425
111	82584	0.286032	-0.0166908	-0.0186047	-0.0453425
112	83328	0.303724	-0.0166908	-0.0307059	-0.0453425
113	84072	0.31885	-0.0166908	-0.0202488	-0.0453425
114	84816	0.300896	-0.0166908	-0.021893	-0.0453425
115	85560	0.303756	-0.0166908	-0.0245895	-0.0453425
116	86304	0.292872	-0.0166908	-0.0271545	-0.0453425
117	87048	0.291688	-0.0166908	-0.0210381	-0.0453425
118	87792	0.28396	-0.0166908	-0.0235372	-0.0453425
119	88536	0.26959	-0.0166908	-0.016237	-0.0453425
120	89280	0.291129	-0.0166908	-0.0231755	-0.0453425
121	90024	0.293497	-0.0166908	-0.0261679	-0.0453425
122	90768	0.303691	-0.0166908	-0.0243264	-0.0453425
123	91512	0.284519	-0.0166908	-0.0220575	-0.0453425
124	92256	0.277679	-0.0166908	-0.0254774	-0.0453425
125	93000	0.288005	-0.0166908	-0.0210052	-0.0453425
126	93744	0.273898	-0.0166908	-0.0239647	-0.0453425
127	94488	0.283007	-0.0166908	-0.0250828	-0.0453425
128	95232	0.287676	-0.0166908	-0.0218273	-0.0453425
129	95976	0.271859	-0.0166908	-0.0268585	-0.0453425
130	96720	0.285769	-0.0166908	-0.0232413	-0.0453425
131	97464	0.293727	-0.0166908	-0.023044	-0.0453425
132	98208	0.279291	-0.0166908	-0.0204133	-0.0453425
133	98952	0.277318	-0.0166908	-0.0200187	-0.0453425
134	99696	0.283335	-0.0166908	-0.0271545	-0.0453425
135	100440	0.311977	-0.0166908	-0.0287	-0.0453425
136	101184	0.286591	-0.0166908	-0.0194268	-0.0453425
137	101928	0.287709	-0.0166908	-0.0199858	-0.0453425
138	102672	0.309117	-0.0166908	-0.0131788	-0.0453425
139	103416	0.271267	-0.0166908	-0.0272531	-0.0453425
140	104160	0.320725	-0.0166908	-0.0176839	-0.0453425
141	104904	0.296127	-0.0166908	-0.0222548	-0.0453425
142	105648	0.304447	-0.0166908	-0.0178812	-0.0453425
143	106392	0.304118	-0.0166908	-0.020479	-0.0453425
144	107136	0.298692	-0.0166908	-0.0213998	-0.0453425
145	107880	0.308294	-0.0166908	-0.0257733	-0.0453425
146	108624	0.293201	-0.0166908	-0.0153492	-0.0453425
147	109368	0.292543	-0.0166908	-0.0202817	-0.0453425
148	110112	0.289814	-0.0166908	-0.0172564	-0.0453425
149	110856	0.294845	-0.0166908	-0.01285	-0.0453425
150	111600	0.299449	-0.0166908	-0.0240305	-0.0453425
151	111042	0.291261	-0.0166908	-0.0220575	-0.0453425
152	110298	0.310366	-0.0166908	-0.0231755	-0.0453425
153	109554	0.319672	-0.0166908	-0.0152834	-0.0453425
154	108810	0.293497	-0.0166908	-0.0169933	-0.0453425
155	108066	0.307111	-0.0166908	-0.0181443	-0.0453425
156	107322	0.293628	-0.0166908	-0.0183745	-0.0453425
157	106578	0.308919	-0.0166908	-0.0237674	-0.0453425
158	105834	0.314246	-0.0166908	-0.0178483	-0.0453425
