# Filename	2016-10-04\12_delay.txt
# Date	2016-10-04
# Title	DL-Pro & DL-100 Locked delay scan.
# DL-Pro	365824.8 GHz
# DL-100	365808.9 GHz
# Static	150 mV Pulsed
# MWOn	On
# MWf	15931.6 MHz
# Attn	32 dB
# FixedAttn	6 dB
# B2	B2 = T2 + 2.050 us
# HP214B	HP 214B FIP at 5.5 on 100V setting ; Applied to Top ; Mesh & Vin of MCP @ +25V ; Vout of MCP @ +2025 V
# Oven	32 A
# Boxcar	Gate = 200 ns ; Amp = 25x ; Sensitivity = 5 mV
# Offset	+/- 30 mV IR/Oven offset.
# Bias	Top: 0 V ; Bot: -0.480 V ; IR: +0.065 V ; Oven: -0.065 V ; Vis: -0.010 V ; MW: +0.010 V
# Passes	4
i	step	norm	nbackground	signal	sbackground
0	0	0.296029	-0.0274044	-0.0418207	-0.0557207
1	744	0.305532	-0.0274044	-0.0357043	-0.0557207
2	1488	0.294089	-0.0274044	-0.0406697	-0.0557207
3	2232	0.284355	-0.0274044	-0.0335339	-0.0557207
4	2976	0.296917	-0.0274044	-0.0463258	-0.0557207
5	3720	0.29547	-0.0274044	-0.0399463	-0.0557207
6	4464	0.265315	-0.0274044	-0.0393873	-0.0557207
7	5208	0.288761	-0.0274044	-0.0368881	-0.0557207
8	5952	0.272648	-0.0274044	-0.0368881	-0.0557207
9	6696	0.281823	-0.0274044	-0.0442212	-0.0557207
10	7440	0.291589	-0.0274044	-0.0446158	-0.0557207
11	8184	0.268044	-0.0274044	-0.043432	-0.0557207
12	8928	0.277745	-0.0274044	-0.035211	-0.0557207
13	9672	0.283007	-0.0274044	-0.0348493	-0.0557207
14	10416	0.268801	-0.0274044	-0.0358687	-0.0557207
15	11160	0.267354	-0.0274044	-0.0411301	-0.0557207
16	11904	0.274292	-0.0274044	-0.0399792	-0.0557207
17	12648	0.260086	-0.0274044	-0.0411959	-0.0557207
18	13392	0.272911	-0.0274044	-0.0384994	-0.0557207
19	14136	0.261139	-0.0274044	-0.0398476	-0.0557207
20	14880	0.259495	-0.0274044	-0.031824	-0.0557207
21	15624	0.265808	-0.0274044	-0.0333695	-0.0557207
22	16368	0.257226	-0.0274044	-0.0349808	-0.0557207
23	17112	0.257489	-0.0274044	-0.0331064	-0.0557207
24	17856	0.26035	-0.0274044	-0.0380061	-0.0557207
