# Filename	2016-09-28\39_delay.txt
# Date	2016-09-28
# Title	DL-Pro & DL-100 Locked delay scan.
# DL-Pro	365824.8 GHz
# DL-100	365808.9 GHz
# Static	-8000 mV Pulsed
# MWOn	On
# MWf	15931.6 MHz
# Attn	44 dB
# FixedAttn	6 dB
# B2	B2 = T2 + 2.050 us
# HP214B	HP 214B FIP at 5.5 on 100V setting ; Applied to Top ; Mesh & Vin of MCP @ +25V ; Vout of MCP @ +2025 V
# Oven	32 A
# Boxcar	Gate = 200 ns ; Amp = 25x ; Sensitivity = 5 mV
# Offset	+/- 30 mV IR/Oven offset.
# Bias	Top: 0 V ; Bot: -0.445 V ; IR: +0.055 V ; Oven: -0.055 V ; Vis: -0.010 V ; MW: +0.010 V
# Passes	4
i	step	norm	nbackground	signal	sbackground
0	0	0.197607	-0.0166645	-0.035211	-0.0387789
1	744	0.195042	-0.0166645	-0.0342574	-0.0387789
2	1488	0.190142	-0.0166645	-0.0333366	-0.0387789
3	2232	0.210004	-0.0166645	-0.0285685	-0.0387789
4	2976	0.18419	-0.0166645	-0.0281739	-0.0387789
5	3720	0.192905	-0.0166645	-0.0312649	-0.0387789
6	4464	0.197475	-0.0166645	-0.0367566	-0.0387789
7	5208	0.193464	-0.0166645	-0.0299496	-0.0387789
8	5952	0.18498	-0.0166645	-0.0324817	-0.0387789
9	6696	0.20175	-0.0166645	-0.0340272	-0.0387789
10	7440	0.180244	-0.0166645	-0.030673	-0.0387789
11	8184	0.182711	-0.0166645	-0.0273518	-0.0387789
12	8928	0.176167	-0.0166645	-0.0324159	-0.0387789
13	9672	0.177646	-0.0166645	-0.0278779	-0.0387789
14	10416	0.177548	-0.0166645	-0.0281081	-0.0387789
15	11160	0.17814	-0.0166645	-0.0277135	-0.0387789
16	11904	0.171366	-0.0166645	-0.0339614	-0.0387789
17	12648	0.165512	-0.0166645	-0.0256418	-0.0387789
18	13392	0.179093	-0.0166645	-0.0310019	-0.0387789
19	14136	0.178501	-0.0166645	-0.0276148	-0.0387789
20	14880	0.18886	-0.0166645	-0.0266941	-0.0387789
21	15624	0.179554	-0.0166645	-0.028141	-0.0387789
22	16368	0.167814	-0.0166645	-0.0330407	-0.0387789
23	17112	0.182415	-0.0166645	-0.0287987	-0.0387789
24	17856	0.174325	-0.0166645	-0.0339285	-0.0387789
25	18600	0.181198	-0.0166645	-0.026727	-0.0387789
26	19344	0.183039	-0.0166645	-0.0273518	-0.0387789
27	20088	0.214082	-0.0166645	-0.0325145	-0.0387789
28	20832	0.197048	-0.0166645	-0.0377102	-0.0387789
29	21576	0.189254	-0.0166645	-0.0303771	-0.0387789
30	22320	0.189024	-0.0166645	-0.0303442	-0.0387789
31	23064	0.170872	-0.0166645	-0.0291604	-0.0387789
32	23808	0.170313	-0.0166645	-0.0283054	-0.0387789
33	24552	0.171398	-0.0166645	-0.0292261	-0.0387789
34	25296	0.20152	-0.0166645	-0.0292919	-0.0387789
35	26040	0.199383	-0.0166645	-0.0309361	-0.0387789
36	26784	0.208788	-0.0166645	-0.0320542	-0.0387789
37	27528	0.189254	-0.0166645	-0.0320213	-0.0387789
38	28272	0.183072	-0.0166645	-0.0339285	-0.0387789
39	29016	0.181165	-0.0166645	-0.0345533	-0.0387789
40	29760	0.185506	-0.0166645	-0.0270887	-0.0387789
41	30504	0.182776	-0.0166645	-0.0317253	-0.0387789
42	31248	0.195798	-0.0166645	-0.0251814	-0.0387789
43	31992	0.201126	-0.0166645	-0.027286	-0.0387789
44	32736	0.191063	-0.0166645	-0.0341587	-0.0387789
45	33480	0.18715	-0.0166645	-0.030114	-0.0387789
46	34224	0.197114	-0.0166645	-0.0286342	-0.0387789
47	34968	0.185835	-0.0166645	-0.0308703	-0.0387789
48	35712	0.205499	-0.0166645	-0.0313307	-0.0387789
49	36456	0.201652	-0.0166645	-0.0318569	-0.0387789
