# Filename	25_delay.txt
# Date	2016-09-28
# Title	DL-Pro & DL-100 Locked delay scan.
# DL-Pro	365824.8 GHz
# DL-100	365808.9 GHz
# Static	2000 mV Pulsed
# MWOn	On
# MWf	15931.6 MHz
# Attn	44 dB
# FixedAttn	6 dB
# B2	B2 = T2 + 2.050 us
# HP214B	HP 214B FIP at 5.5 on 100V setting ; Applied to Top ; Mesh & Vin of MCP @ +25V ; Vout of MCP @ +2025 V
# Oven	32 A
# Boxcar	Gate = 200 ns ; Amp = 25x ; Sensitivity = 5 mV
# Offset	+/- 30 mV IR/Oven offset.
# Bias	Top: 0 V ; Bot: -0.445 V ; IR: +0.055 V ; Oven: -0.055 V ; Vis: -0.010 V ; MW: +0.010 V
# Passes	4
i	step	norm	nbackground	signal	sbackground
0	0	0.250484	-0.0240963	0.0184555	-0.0475819
1	744	0.241014	-0.0240963	0.0169757	-0.0475819
2	1488	0.269886	-0.0240963	0.0168113	-0.0475819
3	2232	0.272089	-0.0240963	0.0204285	-0.0475819
4	2976	0.26765	-0.0240963	0.0119774	-0.0475819
5	3720	0.247229	-0.0240963	0.0114183	-0.0475819
6	4464	0.238515	-0.0240963	0.0119774	-0.0475819
7	5208	0.272155	-0.0240963	0.0188501	-0.0475819
8	5952	0.230129	-0.0240963	0.00829436	-0.0475819
9	6696	0.263868	-0.0240963	0.00974125	-0.0475819
10	7440	0.213556	-0.0240963	0.0139504	-0.0475819
11	8184	0.257489	-0.0240963	0.0154959	-0.0475819
12	8928	0.23687	-0.0240963	0.0127337	-0.0475819
13	9672	0.263671	-0.0240963	0.0203627	-0.0475819
14	10416	0.232135	-0.0240963	0.019442	-0.0475819
15	11160	0.240553	-0.0240963	0.00845878	-0.0475819
16	11904	0.244894	-0.0240963	0.0215137	-0.0475819
17	12648	0.263638	-0.0240963	0.0200339	-0.0475819
18	13392	0.233648	-0.0240963	0.00599249	-0.0475819
19	14136	0.260152	-0.0240963	0.0167784	-0.0475819
20	14880	0.289583	-0.0240963	0.0185541	-0.0475819
21	15624	0.262454	-0.0240963	0.0235196	-0.0475819
22	16368	0.242954	-0.0240963	0.0227304	-0.0475819
23	17112	0.245683	-0.0240963	0.0151342	-0.0475819
24	17856	0.239698	-0.0240963	0.0136544	-0.0475819
25	18600	0.268735	-0.0240963	0.00773533	-0.0475819
26	19344	0.259495	-0.0240963	0.0171401	-0.0475819
27	20088	0.248413	-0.0240963	0.0111224	-0.0475819
28	20832	0.245124	-0.0240963	0.0182911	-0.0475819
29	21576	0.231477	-0.0240963	0.0166469	-0.0475819
30	22320	0.237758	-0.0240963	0.0159892	-0.0475819
