# Filename	3_delay.txt
# Date	2016-09-28
# Title	DL-Pro & DL-100 Locked delay scan.
# DL-Pro	365824.8 GHz
# DL-100	365808.9 GHz
# Static	1000 mV Pulsed
# MWOn	On
# MWf	15931.6 MHz
# Attn	44 dB
# FixedAttn	6 dB
# B2	B2 = T2 + 2.050 us
# HP214B	HP 214B FIP at 5.5 on 100V setting ; Applied to Top ; Mesh & Vin of MCP @ +25V ; Vout of MCP @ +2025 V
# Oven	32 A
# Boxcar	Gate = 200 ns ; Amp = 25x ; Sensitivity = 5 mV
# Offset	+/- 30 mV IR/Oven offset.
# Bias	Top: 0 V ; Bot: -0.440 V ; IR: +0.050 V ; Oven: -0.050 V ; Vis: -0.010 V ; MW: +0.010 V
# Passes	4
i	step	norm	nbackground	signal	sbackground
0	0	0.276923	-0.0321101	0.0627172	-0.05431
1	744	0.294878	-0.0321101	0.0591986	-0.05431
2	1488	0.301948	-0.0321101	0.0683074	-0.05431
3	2232	0.293562	-0.0321101	0.071267	-0.05431
4	2976	0.286723	-0.0321101	0.07324	-0.05431
5	3720	0.312372	-0.0321101	0.0805402	-0.05431
6	4464	0.284059	-0.0321101	0.0716945	-0.05431
7	5208	0.296193	-0.0321101	0.0784686	-0.05431
8	5952	0.276035	-0.0321101	0.0648875	-0.05431
9	6696	0.284289	-0.0321101	0.0613361	-0.05431
10	7440	0.299482	-0.0321101	0.0665317	-0.05431
11	8184	0.291589	-0.0321101	0.0569296	-0.05431
12	8928	0.288367	-0.0321101	0.0662686	-0.05431
13	9672	0.28932	-0.0321101	0.0633091	-0.05431
14	10416	0.282152	-0.0321101	0.071826	-0.05431
15	11160	0.282086	-0.0321101	0.0578175	-0.05431
16	11904	0.278206	-0.0321101	0.0567323	-0.05431
17	12648	0.276627	-0.0321101	0.0634735	-0.05431
18	13392	0.268373	-0.0321101	0.0615662	-0.05431
19	14136	0.270511	-0.0321101	0.0559102	-0.05431
20	14880	0.275706	-0.0321101	0.0478865	-0.05431
21	15624	0.282612	-0.0321101	0.063046	-0.05431
22	16368	0.277745	-0.0321101	0.0597905	-0.05431
23	17112	0.274851	-0.0321101	0.0571598	-0.05431
24	17856	0.271004	-0.0321101	0.0683074	-0.05431
25	18600	0.258212	-0.0321101	0.0548579	-0.05431
26	19344	0.262717	-0.0321101	0.057094	-0.05431
27	20088	0.229011	-0.0321101	0.0597576	-0.05431
28	20832	0.255976	-0.0321101	0.053411	-0.05431
29	21576	0.273339	-0.0321101	0.0561733	-0.05431
30	22320	0.257949	-0.0321101	0.0523259	-0.05431
31	23064	0.238219	-0.0321101	0.0504844	-0.05431
32	23808	0.248281	-0.0321101	0.0504186	-0.05431
33	24552	0.241277	-0.0321101	0.0489388	-0.05431
34	25296	0.231346	-0.0321101	0.0421648	-0.05431
35	26040	0.234569	-0.0321101	0.0561075	-0.05431
36	26784	0.257028	-0.0321101	0.0462752	-0.05431
37	27528	0.265085	-0.0321101	0.0547593	-0.05431
38	28272	0.265874	-0.0321101	0.0618622	-0.05431
39	29016	0.255483	-0.0321101	0.0498925	-0.05431
40	29760	0.2542	-0.0321101	0.0520299	-0.05431
41	30504	0.256798	-0.0321101	0.0548579	-0.05431
42	31248	0.266893	-0.0321101	0.0663015	-0.05431
43	31992	0.273437	-0.0321101	0.0620595	-0.05431
44	32736	0.259889	-0.0321101	0.0612045	-0.05431
45	33480	0.276496	-0.0321101	0.064756	-0.05431
46	34224	0.258245	-0.0321101	0.0578504	-0.05431
47	34968	0.263868	-0.0321101	0.0555485	-0.05431
48	35712	0.261139	-0.0321101	0.0588698	-0.05431
49	36456	0.28008	-0.0321101	0.055121	-0.05431
50	37200	0.256963	-0.0321101	0.0535097	-0.05431
51	37944	0.277942	-0.0321101	0.0618293	-0.05431
52	38688	0.27324	-0.0321101	0.0677155	-0.05431
53	39432	0.278567	-0.0321101	0.0488402	-0.05431
54	40176	0.242987	-0.0321101	0.0654465	-0.05431
55	40920	0.286854	-0.0321101	0.0632433	-0.05431
56	41664	0.266762	-0.0321101	0.054003	-0.05431
57	42408	0.266696	-0.0321101	0.0642627	-0.05431
58	43152	0.268012	-0.0321101	0.0544304	-0.05431
59	43896	0.261336	-0.0321101	0.0565021	-0.05431
