# 2016-09-26-Monday
# map
# fnum, DL-Pro, DL-100, MW f, attn, fpulse
2	365856.7	365840.7	15.9319	44	100
3	365856.7	365840.7	15.9319	44	-100
4	365856.7	365840.7	15.9319	44	-300
5	365856.7	365840.7	15.9319	44	300
6	365856.7	365840.7	15.9319	44	1500
7	365856.7	365840.7	15.9319	44	-1500
# 8	365856.7	365840.7	15.9319	44	-400
# 9	365856.7	365840.7	15.9319	44	400
# Looks like bias voltages were way off.
10	365856.7	365840.7	15.9319	44	-400
11	365856.7	365840.7	15.9319	44	400
12	365856.7	365840.7	15.9319	44	3000
13	365856.7	365840.7	15.9319	44	-3000
14	365856.7	365840.7	15.9319	44	-350
15	365856.7	365840.7	15.9319	44	350
