# Date	2015-11-30-01:21
# Type	Delay Scan
# Ov	100 mV
# IR	-100 mV
# Bot	0 mV
# DL-Pro	365857.6 GHz
# DL-100	365841.6 GHz
# MW	On
# mwf	15932.0 MHz
# Attn	35 dB
i	step	norm	norm bkgnd	signal	signal bkgnd
0	200	0.293266	0.00874487	0.0968835	-0.0136655	
1	400	0.301224	0.00874487	0.0966534	-0.0136655	
2	600	0.289485	0.00874487	0.10129	-0.0136655	
3	800	0.273109	0.00874487	0.0971466	-0.0136655	
4	1000	0.29547	0.00874487	0.0935294	-0.0136655	
5	1200	0.282546	0.00874487	0.093924	-0.0136655	
6	1400	0.275575	0.00874487	0.0928717	-0.0136655	
7	1600	0.287972	0.00874487	0.102079	-0.0136655	
8	1800	0.271563	0.00874487	0.0859003	-0.0136655	
9	2000	0.291162	0.00874487	0.101356	-0.0136655	
10	2200	0.30083	0.00874487	0.0942199	-0.0136655	
11	2400	0.287939	0.00874487	0.10083	-0.0136655	
12	2600	0.297278	0.00874487	0.10494	-0.0136655	
13	2800	0.297706	0.00874487	0.0934636	-0.0136655	
14	3000	0.302967	0.00874487	0.103559	-0.0136655	
15	3200	0.28498	0.00874487	0.0960286	-0.0136655	
16	3400	0.288071	0.00874487	0.0911946	-0.0136655	
17	3600	0.289649	0.00874487	0.0991196	-0.0136655	
18	3800	0.30231	0.00874487	0.101454	-0.0136655	
19	4000	0.278896	0.00874487	0.109511	-0.0136655	
20	4200	0.282579	0.00874487	0.102671	-0.0136655	
21	4400	0.281889	0.00874487	0.0911946	-0.0136655	
22	4600	0.291655	0.00874487	0.109149	-0.0136655	
23	4800	0.297804	0.00874487	0.0942528	-0.0136655	
24	5000	0.298166	0.00874487	0.0908658	-0.0136655	
25	5200	0.291589	0.00874487	0.101652	-0.0136655	
26	5400	0.317798	0.00874487	0.108985	-0.0136655	
27	5600	0.307933	0.00874487	0.0968178	-0.0136655	
28	5800	0.295831	0.00874487	0.0876761	-0.0136655	
29	6000	0.287446	0.00874487	0.095634	-0.0136655	
30	6200	0.277088	0.00874487	0.0951078	-0.0136655	
31	6400	0.284684	0.00874487	0.0947132	-0.0136655	
32	6600	0.293562	0.00874487	0.108557	-0.0136655	
33	6800	0.29593	0.00874487	0.107505	-0.0136655	
34	7000	0.30938	0.00874487	0.0997773	-0.0136655	
35	7200	0.289287	0.00874487	0.0973768	-0.0136655	
36	7400	0.309084	0.00874487	0.101257	-0.0136655	
37	7600	0.296456	0.00874487	0.101158	-0.0136655	
