# Date	2015-11-30-02:00
# Type	Delay Scan
# Ov	98 mV
# IR	-98 mV
# Bot	40 mV
# DL-Pro	365857.6 GHz
# DL-100	365841.6 GHz
# MW	On
# mwf	15932.0 MHz
# Attn	35 dB
i	step	norm	norm bkgnd	signal	signal bkgnd
102	20600	0.28373	0.00696256	0.0923785	-0.0142015	
103	20800	0.276496	0.00696256	0.0937267	-0.0142015	
104	21000	0.269064	0.00696256	0.0959957	-0.0142015	
105	21200	0.290997	0.00696256	0.0897477	-0.0142015	
106	21400	0.266334	0.00696256	0.102079	-0.0142015	
107	21600	0.282612	0.00696256	0.0916221	-0.0142015	
108	21800	0.27278	0.00696256	0.0974426	-0.0142015	
109	22000	0.280803	0.00696256	0.100008	-0.0142015	
110	22200	0.279817	0.00696256	0.0923456	-0.0142015	
111	22400	0.282217	0.00696256	0.103427	-0.0142015	
112	22600	0.282579	0.00696256	0.104677	-0.0142015	
113	22800	0.292181	0.00696256	0.102934	-0.0142015	
114	23000	0.259593	0.00696256	0.10323	-0.0142015	
115	23200	0.269031	0.00696256	0.0927402	-0.0142015	
116	23400	0.288104	0.00696256	0.0896162	-0.0142015	
117	23600	0.271234	0.00696256	0.0886955	-0.0142015	
118	23800	0.293003	0.00696256	0.0977385	-0.0142015	
119	24000	0.266598	0.00696256	0.0930032	-0.0142015	
120	24200	0.279422	0.00696256	0.0889585	-0.0142015	
121	24400	0.276857	0.00696256	0.093628	-0.0142015	
122	24600	0.283533	0.00696256	0.0861634	-0.0142015	
123	24800	0.250419	0.00696256	0.0979029	-0.0142015	
124	25000	0.257752	0.00696256	0.0918194	-0.0142015	
125	25200	0.274588	0.00696256	0.101553	-0.0142015	
126	25400	0.274786	0.00696256	0.0861305	-0.0142015	
127	25600	0.263934	0.00696256	0.102868	-0.0142015	
128	25800	0.263638	0.00696256	0.0998431	-0.0142015	
129	26000	0.264	0.00696256	0.0922469	-0.0142015	
130	26200	0.297147	0.00696256	0.0891558	-0.0142015	
131	26400	0.279652	0.00696256	0.0937596	-0.0142015	
132	26600	0.284947	0.00696256	0.0937925	-0.0142015	
133	26800	0.278502	0.00696256	0.104874	-0.0142015	
134	27000	0.267387	0.00696256	0.104874	-0.0142015	
135	27200	0.275969	0.00696256	0.086558	-0.0142015	
136	27400	0.27814	0.00696256	0.0978701	-0.0142015	
137	27600	0.271892	0.00696256	0.0946803	-0.0142015	
138	27800	0.274983	0.00696256	0.0934307	-0.0142015	
139	28000	0.303691	0.00696256	0.0915564	-0.0142015	
140	28200	0.273668	0.00696256	0.0964889	-0.0142015	
141	28400	0.286657	0.00696256	0.091096	-0.0142015	
142	28600	0.27541	0.00696256	0.0961272	-0.0142015	
143	28800	0.284684	0.00696256	0.102046	-0.0142015	
144	29000	0.277416	0.00696256	0.0964889	-0.0142015	
145	29200	0.286525	0.00696256	0.0957326	-0.0142015	
146	29400	0.268965	0.00696256	0.0901423	-0.0142015	
147	29600	0.275246	0.00696256	0.102046	-0.0142015	
148	29800	0.295634	0.00696256	0.105466	-0.0142015	
149	30000	0.281428	0.00696256	0.0936609	-0.0142015	
150	30200	0.283862	0.00696256	0.0920825	-0.0142015	
151	30400	0.281691	0.00696256	0.0945488	-0.0142015	
152	30600	0.278206	0.00696256	0.0959299	-0.0142015	
153	30800	0.276726	0.00696256	0.101454	-0.0142015	
154	31000	0.285341	0.00696256	0.0949763	-0.0142015	
155	31200	0.283993	0.00696256	0.0873472	-0.0142015	
156	31400	0.271267	0.00696256	0.0904712	-0.0142015	
157	31600	0.285177	0.00696256	0.0918852	-0.0142015	
158	31800	0.278929	0.00696256	0.0918852	-0.0142015	
159	32000	0.282448	0.00696256	0.0999417	-0.0142015	
160	32200	0.293924	0.00696256	0.0828092	-0.0142015	
161	32400	0.272418	0.00696256	0.0978701	-0.0142015	
162	32600	0.285374	0.00696256	0.101849	-0.0142015	
163	32800	0.28248	0.00696256	0.0925429	-0.0142015	
164	33000	0.281198	0.00696256	0.0931677	-0.0142015	
165	33200	0.277844	0.00696256	0.0834011	-0.0142015	
