# Date	2015-11-30-04:15
# Type	Delay Scan
# Ov	100 mV
# IR	-100 mV 
# Bot	10 mV
# DL-Pro	365857.6 GHz
# DL-100	365841.6 GHz
# MW	On
# mwf	15932.1 MHz
# Attn	35 dB
i	step	norm	norm bkgnd	signal	signal bkgnd
0	200	0.239929	0.0105502	0.0830065	-0.0107717	
1	400	0.233352	0.0105502	0.0871499	-0.0107717	
2	600	0.237199	0.0105502	0.0752131	-0.0107717	
3	800	0.235917	0.0105502	0.0823817	-0.0107717	
4	1000	0.228518	0.0105502	0.085999	-0.0107717	
5	1200	0.213062	0.0105502	0.0844534	-0.0107717	
6	1400	0.256765	0.0105502	0.0856044	-0.0107717	
7	1600	0.226841	0.0105502	0.091096	-0.0107717	
8	1800	0.236246	0.0105502	0.0830723	-0.0107717	
9	2000	0.247854	0.0105502	0.0906685	-0.0107717	
10	2200	0.24542	0.0105502	0.081461	-0.0107717	
11	2400	0.23401	0.0105502	0.0854728	-0.0107717	
12	2600	0.249399	0.0105502	0.0839602	-0.0107717	
13	2800	0.23664	0.0105502	0.0775478	-0.0107717	
14	3000	0.230392	0.0105502	0.0783699	-0.0107717	
15	3200	0.212536	0.0105502	0.0810006	-0.0107717	
16	3400	0.229767	0.0105502	0.0788303	-0.0107717	
17	3600	0.223421	0.0105502	0.0795537	-0.0107717	
18	3800	0.240619	0.0105502	0.0800141	-0.0107717	
19	4000	0.254891	0.0105502	0.0721549	-0.0107717	
20	4200	0.230392	0.0105502	0.082875	-0.0107717	
21	4400	0.23401	0.0105502	0.0760023	-0.0107717	
22	4600	0.245124	0.0105502	0.0803758	-0.0107717	
23	4800	0.24884	0.0105502	0.0779424	-0.0107717	
24	5000	0.229406	0.0105502	0.0774492	-0.0107717	
25	5200	0.240455	0.0105502	0.0807047	-0.0107717	
26	5400	0.23322	0.0105502	0.0890243	-0.0107717	
27	5600	0.224342	0.0105502	0.0837958	-0.0107717	
28	5800	0.2298	0.0105502	0.090241	-0.0107717	
29	6000	0.231017	0.0105502	0.081165	-0.0107717	
30	6200	0.231477	0.0105502	0.0845192	-0.0107717	
31	6400	0.225953	0.0105502	0.0805402	-0.0107717	
32	6600	0.222401	0.0105502	0.0914906	-0.0107717	
33	6800	0.229274	0.0105502	0.0891229	-0.0107717	
34	7000	0.231083	0.0105502	0.0867553	-0.0107717	
35	7200	0.252359	0.0105502	0.0771532	-0.0107717	
36	7400	0.242559	0.0105502	0.0816254	-0.0107717	
37	7600	0.233122	0.0105502	0.0835327	-0.0107717	
38	7800	0.248248	0.0105502	0.0878405	-0.0107717	
39	8000	0.237462	0.0105502	0.0839931	-0.0107717	
40	8200	0.245124	0.0105502	0.0870184	-0.0107717	
41	8400	0.239534	0.0105502	0.0873143	-0.0107717	
42	8600	0.244565	0.0105502	0.0926415	-0.0107717	
43	8800	0.248018	0.0105502	0.0831381	-0.0107717	
