# Filename	2016-09-22\25_delay.txt
# Date	2016-09-22
# Title	DL-Pro & DL-100 Locked delay scan.
# DL-Pro	365872.6 GHz
# DL-100	365856.7 GHz
# Static	3000 mV Pulsed
# MWOn	On
# MWf	15932.0 MHz
# Attn	38 dB
# FixedAttn	6 dB
# B2	B2 = T2 + 2.050 us
# HP214B	HP 214B FIP at 5.5 on 100V setting ; Applied to Top ; Mesh & Vin of MCP @ +25V ; Vout of MCP @ +2025 V
# Oven	32 A
# Boxcar	Gate = 200 ns ; Amp = 25x ; Sensitivity = 5 mV
# Offset	+/- 30 mV IR/Oven offset.
# Bias	Top: 0 V ; Bot: -0.409 V ; IR: +0.052 V ; Oven: -0.052 V ; Vis: -0.011 V ; MW: +0.011 V
# Passes	4
i	step	norm	nbackground	signal	sbackground
0	0	0.281757	-0.0233202	-0.0414918	-0.0465855
1	744	0.259955	-0.0233202	-0.0450762	-0.0465855
2	1488	0.253411	-0.0233202	-0.0423797	-0.0465855
3	2232	0.253575	-0.0233202	-0.0423468	-0.0465855
4	2976	0.249169	-0.0233202	-0.0489236	-0.0465855
5	3720	0.258936	-0.0233202	-0.0435306	-0.0465855
6	4464	0.239962	-0.0233202	-0.0421495	-0.0465855
7	5208	0.245683	-0.0233202	-0.0449775	-0.0465855
8	5952	0.256535	-0.0233202	-0.0431031	-0.0465855
9	6696	0.265216	-0.0233202	-0.0495813	-0.0465855
10	7440	0.244795	-0.0233202	-0.0488249	-0.0465855
11	8184	0.263342	-0.0233202	-0.0443198	-0.0465855
12	8928	0.237528	-0.0233202	-0.0416234	-0.0465855
13	9672	0.256239	-0.0233202	-0.0425112	-0.0465855
14	10416	0.266269	-0.0233202	-0.0471807	-0.0465855
15	11160	0.252885	-0.0233202	-0.0442541	-0.0465855
16	11904	0.263276	-0.0233202	-0.0438266	-0.0465855
17	12648	0.252885	-0.0233202	-0.0420837	-0.0465855
18	13392	0.25055	-0.0233202	-0.0403738	-0.0465855
19	14136	0.253608	-0.0233202	-0.0418207	-0.0465855
20	14880	0.250287	-0.0233202	-0.0458325	-0.0465855
21	15624	0.2591	-0.0233202	-0.0384007	-0.0465855
22	16368	0.252819	-0.0233202	-0.045701	-0.0465855
23	17112	0.270412	-0.0233202	-0.041722	-0.0465855
24	17856	0.267288	-0.0233202	-0.0415905	-0.0465855
25	18600	0.246604	-0.0233202	-0.0449446	-0.0465855
26	19344	0.254134	-0.0233202	-0.0451091	-0.0465855
27	20088	0.249761	-0.0233202	-0.0431031	-0.0465855
28	20832	0.261172	-0.0233202	-0.0421495	-0.0465855
29	21576	0.259067	-0.0233202	-0.0405382	-0.0465855
30	22320	0.273109	-0.0233202	-0.0466546	-0.0465855
31	23064	0.269557	-0.0233202	-0.037776	-0.0465855
32	23808	0.245387	-0.0233202	-0.0421495	-0.0465855
33	24552	0.254628	-0.0233202	-0.0392557	-0.0465855
34	25296	0.241869	-0.0233202	-0.0470492	-0.0465855
35	26040	0.244105	-0.0233202	-0.0467533	-0.0465855
36	26784	0.257949	-0.0233202	-0.044846	-0.0465855
37	27528	0.269524	-0.0233202	-0.0447802	-0.0465855
38	28272	0.273536	-0.0233202	-0.045964	-0.0465855
39	29016	0.25591	-0.0233202	-0.045701	-0.0465855
40	29760	0.245157	-0.0233202	-0.0458983	-0.0465855
41	30504	0.268242	-0.0233202	-0.0447145	-0.0465855
42	31248	0.257291	-0.0233202	-0.0415576	-0.0465855
43	31992	0.268636	-0.0233202	-0.0447802	-0.0465855
44	32736	0.258738	-0.0233202	-0.0418207	-0.0465855
45	33480	0.25374	-0.0233202	-0.0368552	-0.0465855
46	34224	0.279521	-0.0233202	-0.0450433	-0.0465855
47	34968	0.25739	-0.0233202	-0.0416234	-0.0465855
48	35712	0.261435	-0.0233202	-0.0469177	-0.0465855
49	36456	0.25545	-0.0233202	-0.0469506	-0.0465855
50	37200	0.265052	-0.0233202	-0.0420509	-0.0465855
51	37944	0.266861	-0.0233202	-0.0409328	-0.0465855
52	38688	0.25328	-0.0233202	-0.0466217	-0.0465855
53	39432	0.252161	-0.0233202	-0.0393873	-0.0465855
54	40176	0.253937	-0.0233202	-0.0415905	-0.0465855
55	40920	0.259692	-0.0233202	-0.0441883	-0.0465855
56	41664	0.242987	-0.0233202	-0.0432347	-0.0465855
57	42408	0.251898	-0.0233202	-0.0412288	-0.0465855
58	43152	0.250484	-0.0233202	-0.0380719	-0.0465855
59	43896	0.242822	-0.0233202	-0.0440239	-0.0465855
60	44640	0.255483	-0.0233202	-0.0412945	-0.0465855
61	45384	0.267485	-0.0233202	-0.0432347	-0.0465855
62	46128	0.254924	-0.0233202	-0.0419193	-0.0465855
63	46872	0.271431	-0.0233202	-0.0431031	-0.0465855
64	47616	0.261435	-0.0233202	-0.0455366	-0.0465855
65	48360	0.261007	-0.0233202	-0.0438924	-0.0465855
66	49104	0.254562	-0.0233202	-0.0400778	-0.0465855
67	49848	0.271629	-0.0233202	-0.0438266	-0.0465855
68	50592	0.270774	-0.0233202	-0.0386309	-0.0465855
69	51336	0.276923	-0.0233202	-0.03919	-0.0465855
70	52080	0.289485	-0.0233202	-0.045405	-0.0465855
71	52824	0.265611	-0.0233202	-0.0421495	-0.0465855
72	53568	0.263671	-0.0233202	-0.0420837	-0.0465855
73	54312	0.269886	-0.0233202	-0.0441554	-0.0465855
74	55056	0.273207	-0.0233202	-0.0395188	-0.0465855
75	55800	0.27324	-0.0233202	-0.0439581	-0.0465855
76	56544	0.279357	-0.0233202	-0.0336984	-0.0465855
77	57288	0.274259	-0.0233202	-0.0442212	-0.0465855
78	58032	0.268044	-0.0233202	-0.0468848	-0.0465855
79	58776	0.275575	-0.0233202	-0.0395846	-0.0465855
80	59520	0.266466	-0.0233202	-0.0429387	-0.0465855
81	60264	0.262125	-0.0233202	-0.0394859	-0.0465855
82	61008	0.265808	-0.0233202	-0.0384007	-0.0465855
83	61752	0.258048	-0.0233202	-0.0412288	-0.0465855
84	62496	0.26058	-0.0233202	-0.0487921	-0.0465855
85	63240	0.257653	-0.0233202	-0.0479042	-0.0465855
86	63984	0.273109	-0.0233202	-0.0374471	-0.0465855
87	64728	0.25249	-0.0233202	-0.039749	-0.0465855
88	65472	0.26663	-0.0233202	-0.0441883	-0.0465855
89	66216	0.26594	-0.0233202	-0.0434978	-0.0465855
90	66960	0.251931	-0.0233202	-0.0401436	-0.0465855
91	67704	0.271103	-0.0233202	-0.0430374	-0.0465855
92	68448	0.262619	-0.0233202	-0.0461285	-0.0465855
93	69192	0.263112	-0.0233202	-0.0440897	-0.0465855
94	69936	0.259067	-0.0233202	-0.0428401	-0.0465855
95	70680	0.252589	-0.0233202	-0.039749	-0.0465855
96	71424	0.257324	-0.0233202	-0.046819	-0.0465855
97	72168	0.260251	-0.0233202	-0.0459312	-0.0465855
98	72912	0.262586	-0.0233202	-0.0414261	-0.0465855
99	73656	0.270281	-0.0233202	-0.0401107	-0.0465855
100	74400	0.266565	-0.0233202	-0.0446487	-0.0465855
101	75144	0.276068	-0.0233202	-0.0448131	-0.0465855
102	75888	0.257883	-0.0233202	-0.0436951	-0.0465855
103	76632	0.261566	-0.0233202	-0.0412616	-0.0465855
104	77376	0.261599	-0.0233202	-0.0475425	-0.0465855
105	78120	0.268373	-0.0233202	-0.0387296	-0.0465855
106	78864	0.263934	-0.0233202	-0.0436293	-0.0465855
107	79608	0.268505	-0.0233202	-0.0438266	-0.0465855
108	80352	0.271464	-0.0233202	-0.044287	-0.0465855
109	81096	0.265249	-0.0233202	-0.0454379	-0.0465855
110	81840	0.263967	-0.0233202	-0.0397161	-0.0465855
111	82584	0.254496	-0.0233202	-0.0435964	-0.0465855
112	83328	0.262191	-0.0233202	-0.0415905	-0.0465855
113	84072	0.258409	-0.0233202	-0.0438924	-0.0465855
114	84816	0.278074	-0.0233202	-0.0453392	-0.0465855
115	85560	0.272714	-0.0233202	-0.0433004	-0.0465855
116	86304	0.263342	-0.0233202	-0.0422153	-0.0465855
117	87048	0.278403	-0.0233202	-0.040604	-0.0465855
118	87792	0.261829	-0.0233202	-0.0436293	-0.0465855
119	88536	0.260021	-0.0233202	-0.0427743	-0.0465855
120	89280	0.255318	-0.0233202	-0.0478055	-0.0465855
121	90024	0.268044	-0.0233202	-0.0395188	-0.0465855
122	90768	0.25374	-0.0233202	-0.0414589	-0.0465855
123	91512	0.26035	-0.0233202	-0.0418207	-0.0465855
124	92256	0.254759	-0.0233202	-0.0448131	-0.0465855
125	93000	0.267222	-0.0233202	-0.0408342	-0.0465855
126	93744	0.266006	-0.0233202	-0.0455037	-0.0465855
127	94488	0.267453	-0.0233202	-0.0436293	-0.0465855
